image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,11.9906,338,48
0002,2,10.3291,15.141,305,61
0003,2,32.3865,13.5538,321,57
0004,2,13.3166,13.9104,319,66
0005,2,11.5447,13.8396,340,61
0006,2,12.4463,13.3503,345,54
0007,2,11.6265,16.0692,315,83
0008,2,15.9386,13.7357,307,87
0009,2,12.2729,13.286,302,74
0010,2,12.9956,12.3056,278,84
0011,2,13.097,11.7252,300,63
0012,2,9.82124,10.4699,300,73
0013,2,9.37135,10.0426,314,71
0014,2,9.47393,10.9844,305,79
0015,2,7.30009,10.5644,286,74
0016,2,9.51171,10.5782,288,78
0017,2,9.93677,9.04355,273,63
0018,2,11.4691,8.73027,295,56
0019,2,10.211,9.5798,346,73
0020,2,6.29794,8.20484,423,60
0021,2,5.35619,8.90923,389,72
0022,2,10.0488,7.96628,422,86
0023,2,10.647,9.11936,487,83
0024,2,6.30222,8.89208,432,80
0025,2,6.49659,8.84789,446,87
0026,2,7.46172,8.93023,433,93
0027,2,9.8562,9.91103,491,79
0028,2,8.80637,9.93826,506,86
0029,2,6.87206,9.95076,441,86
0030,2,8.14908,9.74363,476,90
0031,2,11.1283,11.7792,522,84
0032,2,9.85032,11.5379,573,82
0033,2,8.26347,10.6473,544,84
0034,2,9.3317,10.0713,591,81
0035,2,7.25152,8.84463,582,90
0036,2,7.23081,7.58164,455,91
0037,2,7.51727,7.01495,476,71
0038,2,7.4383,8.52762,575,107
0039,2,6.71038,12.4735,603,105
0040,2,4.31073,8.01075,634,117
0041,2,7.54957,7.64636,579,98
0042,2,6.43063,7.24969,574,103
0043,2,8.01582,8.41469,438,111
0044,2,5.91904,8.66518,481,108
0045,2,5.72978,8.57972,564,108
0046,2,7.70064,10.9492,494,116
0047,2,6.85171,12.2285,500,140
0048,2,12.5901,11.9496,529,115
0048,7,-0.1,-10.7701,5,141
0049,2,22.4918,16.1123,468,134
0049,7,0,-10.3709,2,125
0050,2,11.478,18.8553,391,143
0050,7,-0.1,-10.7592,9,116
