image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,11.9882,338,82
0002,2,10.3291,21.468,305,105
0003,2,32.3865,14.9839,321,110
0004,2,13.3166,16.3706,319,88
0005,2,11.5447,27.6679,340,85
0006,2,12.4463,14.6337,345,97
0007,2,11.6265,15.5437,315,111
0008,2,15.9386,18.9278,307,94
0009,2,12.2729,14.8376,302,113
0010,2,12.9956,12.7061,278,109
0011,2,13.097,12.0802,300,108
0012,2,9.82124,11.7903,300,124
0013,2,9.37135,12.7657,314,123
0014,2,9.47393,11.2707,305,115
0015,2,7.30009,13.4054,286,131
0016,2,9.51171,11.0861,288,108
0017,2,9.93677,10.098,273,122
0018,2,11.4691,12.9238,295,138
0019,2,10.211,10.7746,346,163
0020,2,6.29794,12.2989,423,144
0021,2,5.35619,9.72577,389,126
0022,2,10.0488,11.0383,422,163
0023,2,10.647,11.1187,487,158
0024,2,6.30222,9.75559,432,152
0025,2,6.49659,11.309,446,147
0026,2,7.46172,11.1175,433,178
0027,2,9.8562,14.5476,491,172
0028,2,8.80637,11.4833,506,203
0029,2,6.87206,13.1564,441,185
0030,2,8.14908,16.6084,476,186
0031,2,11.1283,19.4038,522,183
0032,2,9.85032,16.298,573,176
0033,2,8.26347,15.5395,544,172
0034,2,9.3317,12.5922,591,155
0035,2,7.25152,10.5375,582,178
0036,2,7.23081,9.08763,455,172
0037,2,7.51727,8.20973,476,162
0038,2,7.4383,10.1286,575,219
0039,2,6.71038,10.243,603,236
0040,2,4.31073,10.1129,634,216
0041,2,7.54957,8.09738,579,191
0042,2,6.43063,7.62283,574,230
0043,2,8.01582,8.40569,438,213
0044,2,5.91904,8.25968,481,235
0045,2,5.72978,9.34924,564,218
0046,2,7.70064,10.1875,494,217
0047,2,6.85171,10.3623,500,201
0048,2,12.5901,13.2036,529,216
0048,7,-0.1,-8.47869,5,306
0049,2,22.4918,14.323,468,219
0049,7,0,-8.43303,2,322
0050,2,11.478,18.1744,391,234
0050,7,-0.1,-7.92774,9,325
