image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.1352,338,42
0002,2,10.3291,12.3453,305,52
0003,2,32.3865,13.6189,321,57
0004,2,13.3166,12.8853,319,55
0005,2,11.5447,68.6242,340,40
0006,2,12.4463,13.4935,345,57
0007,2,11.6265,12.041,315,64
0008,2,15.9386,11.5105,307,60
0009,2,12.2729,12.0205,302,69
0010,2,12.9956,13.6097,278,62
0011,2,13.097,12.5094,300,47
0012,2,9.82124,12.1142,300,79
0013,2,9.37135,12.4129,314,76
0014,2,9.47393,12.0961,305,74
0015,2,7.30009,11.1574,286,68
0016,2,9.51171,12.305,288,70
0017,2,9.93677,10.5959,273,70
0018,2,11.4691,12.1527,295,68
0019,2,10.211,10.974,346,77
0020,2,6.29794,12.381,423,77
0021,2,5.35619,11.0841,389,79
0022,2,10.0488,12.2204,422,86
0023,2,10.647,10.891,487,97
0024,2,6.30222,8.31777,432,82
0025,2,6.49659,11.1921,446,87
0026,2,7.46172,11.328,433,100
0027,2,9.8562,11.6422,491,88
0028,2,8.80637,13.3261,506,103
0029,2,6.87206,10.6,441,100
0030,2,8.14908,12.9045,476,108
0031,2,11.1283,13.6519,522,109
0032,2,9.85032,12.3027,573,97
0033,2,8.26347,14.0766,544,102
0034,2,9.3317,11.6247,591,83
0035,2,7.25152,9.87118,582,90
0036,2,7.23081,8.20199,455,86
0037,2,7.51727,7.85178,476,92
0038,2,7.4383,8.57013,575,135
0039,2,6.71038,9.73764,603,131
0040,2,4.31073,9.94147,634,124
0041,2,7.54957,7.96498,579,133
0042,2,6.43063,7.3676,574,129
0043,2,8.01582,6.88704,438,131
0044,2,5.91904,8.04969,481,132
0045,2,5.72978,7.56774,564,122
0046,2,7.70064,9.32099,494,133
0047,2,6.85171,9.90251,500,125
0048,2,12.5901,12.9654,529,127
0048,7,-0.1,-9.85905,5,192
0049,2,22.4918,14.2295,468,124
0049,7,0,-8.35032,2,191
0050,2,11.478,16.3735,391,138
0050,7,-0.1,-9.53807,9,201
