image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,10.5719,338,50
0002,2,10.3291,14.8908,305,60
0003,2,32.3865,14.0007,321,63
0004,2,13.3166,13.8953,319,57
0005,2,11.5447,17.6913,340,55
0006,2,12.4463,13.3881,345,65
0007,2,11.6265,11.8323,315,78
0008,2,15.9386,11.7153,307,69
0009,2,12.2729,11.4706,302,81
0010,2,12.9956,13.8064,278,74
0011,2,13.097,13.3065,300,61
0012,2,9.82124,13.3932,300,76
0013,2,9.37135,11.8855,314,78
0014,2,9.47393,11.5887,305,77
0015,2,7.30009,12.4209,286,71
0016,2,9.51171,12.1996,288,82
0017,2,9.93677,10.8571,273,63
0018,2,11.4691,11.3337,295,60
0019,2,10.211,10.9945,346,96
0020,2,6.29794,11.6077,423,96
0021,2,5.35619,10.5023,389,83
0022,2,10.0488,11.0293,422,96
0023,2,10.647,9.60423,487,100
0024,2,6.30222,9.65331,432,97
0025,2,6.49659,11.4873,446,95
0026,2,7.46172,11.0019,433,103
0027,2,9.8562,13.9,491,108
0028,2,8.80637,10.8889,506,120
0029,2,6.87206,10.0751,441,108
0030,2,8.14908,12.4657,476,105
0031,2,11.1283,13.9868,522,123
0032,2,9.85032,13.4699,573,109
0033,2,8.26347,14.2092,544,110
0034,2,9.3317,10.305,591,92
0035,2,7.25152,11.414,582,98
0036,2,7.23081,8.15294,455,97
0037,2,7.51727,7.89323,476,89
0038,2,7.4383,8.94285,575,131
0039,2,6.71038,8.78465,603,130
0040,2,4.31073,8.28672,634,141
0041,2,7.54957,8.65753,579,126
0042,2,6.43063,7.68818,574,146
0043,2,8.01582,7.42223,438,150
0044,2,5.91904,7.60997,481,145
0045,2,5.72978,8.17649,564,141
0046,2,7.70064,9.25102,494,136
0047,2,6.85171,10.6412,500,125
0048,2,12.5901,12.6126,529,138
0048,7,-0.1,-9.3219,5,192
0049,2,22.4918,14.0167,468,132
0049,7,0,-10.4125,2,197
0050,2,11.478,17.3184,391,137
0050,7,-0.1,-9.03194,9,202
