image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,10.9082,338,7
0002,2,10.3291,11.0081,305,7
0003,2,32.3865,-11.4731,321,7
0004,2,13.3166,11.7693,319,9
0005,2,11.5447,19.4967,340,16
0006,2,12.4463,12.9945,345,8
0007,2,11.6265,13.6036,315,18
0008,2,15.9386,17.6204,307,15
0009,2,12.2729,3.18421,302,9
0010,2,12.9956,-nan(ind),278,5
0011,2,13.097,11.2142,300,10
0012,2,9.82124,11.1055,300,8
0013,2,9.37135,13.4095,314,10
0014,2,9.47393,5.85828,305,8
0015,2,7.30009,inf,286,7
0016,2,9.51171,6.52962,288,13
0017,2,9.93677,12.5848,273,6
0018,2,11.4691,inf,295,5
0019,2,10.211,11.7852,346,12
0020,2,6.29794,15.1605,423,11
0021,2,5.35619,12.565,389,13
0022,2,10.0488,13.5362,422,11
0023,2,10.647,12.3334,487,10
0024,2,6.30222,5.92505,432,11
0025,2,6.49659,11.2876,446,13
0026,2,7.46172,13.1763,433,12
0027,2,9.8562,10.3687,491,29
0028,2,8.80637,15.1341,506,21
0029,2,6.87206,14.1245,441,21
0030,2,8.14908,12.341,476,30
0031,2,11.1283,inf,522,22
0032,2,9.85032,-19.6286,573,14
0033,2,8.26347,13.3596,544,15
0034,2,9.3317,7.97569,591,12
0035,2,7.25152,12.9492,582,12
0036,2,7.23081,12.4916,455,12
0037,2,7.51727,6.18756,476,16
0038,2,7.4383,15.1799,575,20
0039,2,6.71038,11.2189,603,19
0040,2,4.31073,6.32657,634,18
0041,2,7.54957,11.0662,579,23
0042,2,6.43063,11.0326,574,20
0043,2,8.01582,15.1229,438,19
0044,2,5.91904,16.6657,481,23
0045,2,5.72978,19.5713,564,25
0046,2,7.70064,14.1903,494,25
0047,2,6.85171,inf,500,25
0048,2,12.5901,87.8521,529,28
0048,7,-0.1,-20.2887,5,20
0049,2,22.4918,17.0659,468,28
0049,7,0,-19.1371,2,20
0050,2,11.478,inf,391,28
0050,7,-0.1,-12.8334,9,23
