image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,16.5361,338,26
0002,2,10.3291,11.3699,305,29
0003,2,32.3865,18.5362,321,34
0004,2,13.3166,30.3839,319,25
0005,2,11.5447,28.7796,340,28
0006,2,12.4463,inf,345,36
0007,2,11.6265,19.9994,315,39
0008,2,15.9386,10.8688,307,27
0009,2,12.2729,inf,302,34
0010,2,12.9956,inf,278,29
0011,2,13.097,9.19704,300,24
0012,2,9.82124,inf,300,31
0013,2,9.37135,9.91242,314,37
0014,2,9.47393,9.5729,305,38
0015,2,7.30009,24.6352,286,34
0016,2,9.51171,15.1256,288,34
0017,2,9.93677,8.84033,273,32
0018,2,11.4691,25.8155,295,25
0019,2,10.211,7.662,346,29
0020,2,6.29794,25.7184,423,35
0021,2,5.35619,21.3094,389,35
0022,2,10.0488,8.31009,422,45
0023,2,10.647,10.7322,487,36
0024,2,6.30222,11.7764,432,38
0025,2,6.49659,39.6982,446,51
0026,2,7.46172,inf,433,47
0027,2,9.8562,inf,491,42
0028,2,8.80637,inf,506,52
0029,2,6.87206,126.319,441,43
0030,2,8.14908,25.4646,476,39
0031,2,11.1283,18.9729,522,46
0032,2,9.85032,25.8725,573,34
0033,2,8.26347,inf,544,36
0034,2,9.3317,15.319,591,36
0035,2,7.25152,12.9755,582,32
0036,2,7.23081,9.36892,455,36
0037,2,7.51727,8.17115,476,29
0038,2,7.4383,10.502,575,45
0039,2,6.71038,16.3273,603,58
0040,2,4.31073,21.2396,634,70
0041,2,7.54957,12.4961,579,58
0042,2,6.43063,8.46691,574,55
0043,2,8.01582,14.5044,438,48
0044,2,5.91904,15.4703,481,60
0045,2,5.72978,14.9311,564,63
0046,2,7.70064,inf,494,64
0047,2,6.85171,inf,500,72
0048,2,12.5901,inf,529,85
0048,7,-0.1,-15.5808,5,37
0049,2,22.4918,inf,468,79
0049,7,0,-23.4241,2,33
0050,2,11.478,inf,391,84
0050,7,-0.1,-16443.5,9,29
