image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.9115,338,77
0002,2,10.3291,13.7941,305,84
0003,2,32.3865,14.0106,321,81
0004,2,13.3166,14.6116,319,88
0005,2,11.5447,14.7856,340,80
0006,2,12.4463,15.4683,345,84
0007,2,11.6265,16.3866,315,95
0008,2,15.9386,14.0724,307,101
0009,2,12.2729,14.9835,302,94
0010,2,12.9956,11.9038,278,102
0011,2,13.097,12.6519,300,89
0012,2,9.82124,10.7585,300,99
0013,2,9.37135,10.3211,314,102
0014,2,9.47393,9.70358,305,93
0015,2,7.30009,9.92559,286,84
0016,2,9.51171,10.1785,288,93
0017,2,9.93677,9.63517,273,94
0018,2,11.4691,9.10764,295,98
0019,2,10.211,9.53354,346,103
0020,2,6.29794,8.66057,423,103
0021,2,5.35619,8.76558,389,99
0022,2,10.0488,8.19173,422,122
0023,2,10.647,9.04688,487,115
0024,2,6.30222,8.68029,432,120
0025,2,6.49659,8.75202,446,113
0026,2,7.46172,9.1109,433,127
0027,2,9.8562,10.2445,491,126
0028,2,8.80637,9.59514,506,127
0029,2,6.87206,9.25412,441,128
0030,2,8.14908,9.83732,476,126
0031,2,11.1283,10.9183,522,130
0032,2,9.85032,12.0414,573,126
0033,2,8.26347,10.5302,544,142
0034,2,9.3317,9.35334,591,134
0035,2,7.25152,8.63823,582,129
0036,2,7.23081,7.92346,455,131
0037,2,7.51727,7.39129,476,112
0038,2,7.4383,8.59915,575,182
0039,2,6.71038,9.40295,603,164
0040,2,4.31073,8.2058,634,175
0041,2,7.54957,8.98417,579,162
0042,2,6.43063,6.89813,574,161
0043,2,8.01582,8.00934,438,163
0044,2,5.91904,9.07023,481,171
0045,2,5.72978,8.73161,564,169
0046,2,7.70064,9.24397,494,166
0047,2,6.85171,10.4015,500,190
0048,2,12.5901,11.0583,529,165
0048,7,-0.1,-10.6346,5,188
0049,2,22.4918,13.5732,468,190
0049,7,0,-10.2494,2,187
0050,2,11.478,19.3345,391,193
0050,7,-0.1,-10.5372,9,204
