image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,14.6831,338,55
0002,2,10.3291,20.3997,305,61
0003,2,32.3865,14.7169,321,74
0004,2,13.3166,15.5328,319,54
0005,2,11.5447,22.3963,340,45
0006,2,12.4463,26.8508,345,73
0007,2,11.6265,15.6848,315,76
0008,2,15.9386,13.8294,307,69
0009,2,12.2729,14.3993,302,74
0010,2,12.9956,12.0746,278,76
0011,2,13.097,11.6932,300,68
0012,2,9.82124,13.5057,300,75
0013,2,9.37135,11.0569,314,77
0014,2,9.47393,11.1358,305,89
0015,2,7.30009,11.9488,286,86
0016,2,9.51171,12.5589,288,77
0017,2,9.93677,8.78169,273,66
0018,2,11.4691,11.2937,295,78
0019,2,10.211,12.0523,346,103
0020,2,6.29794,9.98218,423,92
0021,2,5.35619,9.06105,389,87
0022,2,10.0488,11.2673,422,106
0023,2,10.647,11.5806,487,86
0024,2,6.30222,10.6022,432,98
0025,2,6.49659,14.7694,446,106
0026,2,7.46172,13.4522,433,106
0027,2,9.8562,11.6732,491,102
0028,2,8.80637,13.017,506,119
0029,2,6.87206,14.7216,441,122
0030,2,8.14908,15.6843,476,115
0031,2,11.1283,20.0094,522,114
0032,2,9.85032,14.6996,573,100
0033,2,8.26347,20.3626,544,97
0034,2,9.3317,12.1801,591,91
0035,2,7.25152,11.5917,582,103
0036,2,7.23081,8.76301,455,100
0037,2,7.51727,8.49356,476,94
0038,2,7.4383,10.4664,575,146
0039,2,6.71038,12.6014,603,146
0040,2,4.31073,11.1724,634,123
0041,2,7.54957,8.24169,579,137
0042,2,6.43063,6.93632,574,134
0043,2,8.01582,7.75511,438,134
0044,2,5.91904,7.4753,481,143
0045,2,5.72978,9.00784,564,135
0046,2,7.70064,9.27619,494,144
0047,2,6.85171,11.2441,500,145
0048,2,12.5901,12.9096,529,132
0048,7,-0.1,-8.02817,5,170
0049,2,22.4918,15.5131,468,160
0049,7,0,-7.93121,2,196
0050,2,11.478,21.7154,391,172
0050,7,-0.1,-7.36763,9,196
