image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,10.9082,338,6
0002,2,10.3291,10.586,305,6
0003,2,32.3865,26.2905,321,4
0004,2,13.3166,11.7693,319,7
0005,2,11.5447,inf,340,11
0006,2,12.4463,12.9945,345,8
0007,2,11.6265,12.2792,315,14
0008,2,15.9386,12.9162,307,11
0009,2,12.2729,-nan(ind),302,7
0010,2,12.9956,inf,278,4
0011,2,13.097,11.2142,300,7
0012,2,9.82124,11.6948,300,8
0013,2,9.37135,25.6953,314,9
0014,2,9.47393,5.6061,305,6
0015,2,7.30009,-13.6263,286,9
0016,2,9.51171,6.19345,288,14
0017,2,9.93677,12.5848,273,6
0018,2,11.4691,inf,295,5
0019,2,10.211,11.2009,346,12
0020,2,6.29794,11.7538,423,13
0021,2,5.35619,11.3035,389,11
0022,2,10.0488,122.051,422,8
0023,2,10.647,12.4201,487,10
0024,2,6.30222,5.73917,432,12
0025,2,6.49659,14.4226,446,13
0026,2,7.46172,12.9428,433,13
0027,2,9.8562,11.4559,491,24
0028,2,8.80637,16.1056,506,20
0029,2,6.87206,15.9581,441,19
0030,2,8.14908,12.7104,476,26
0031,2,11.1283,inf,522,21
0032,2,9.85032,-18.5476,573,13
0033,2,8.26347,13.3596,544,10
0034,2,9.3317,11.7698,591,13
0035,2,7.25152,8.26608,582,11
0036,2,7.23081,13.9065,455,9
0037,2,7.51727,8.01353,476,13
0038,2,7.4383,7.53659,575,17
0039,2,6.71038,12.4564,603,17
0040,2,4.31073,6.67312,634,19
0041,2,7.54957,9.21662,579,20
0042,2,6.43063,11.9468,574,21
0043,2,8.01582,11.7039,438,20
0044,2,5.91904,11.4989,481,20
0045,2,5.72978,10.6587,564,20
0046,2,7.70064,15.3815,494,23
0047,2,6.85171,inf,500,20
0048,2,12.5901,13.7376,529,20
0048,7,-0.1,-33.5456,5,14
0049,2,22.4918,66.215,468,26
0049,7,0,-14.1856,2,17
0050,2,11.478,inf,391,22
0050,7,-0.1,-18.0089,9,18
