image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,19.4668,338,38
0002,2,10.3291,18.2471,305,40
0003,2,32.3865,11.669,321,47
0004,2,13.3166,19.1755,319,48
0005,2,11.5447,68.2286,340,42
0006,2,12.4463,11.1609,345,44
0007,2,11.6265,13.2966,315,49
0008,2,15.9386,9.45873,307,47
0009,2,12.2729,13.3112,302,37
0010,2,12.9956,13.4335,278,42
0011,2,13.097,7.71005,300,34
0012,2,9.82124,inf,300,44
0013,2,9.37135,11.4295,314,41
0014,2,9.47393,9.63066,305,42
0015,2,7.30009,8.72363,286,41
0016,2,9.51171,11.2699,288,46
0017,2,9.93677,17.2956,273,42
0018,2,11.4691,27.9094,295,43
0019,2,10.211,5.59964,346,43
0020,2,6.29794,8.71099,423,51
0021,2,5.35619,10.1072,389,48
0022,2,10.0488,9.3136,422,63
0023,2,10.647,12.3038,487,60
0024,2,6.30222,10.0535,432,59
0025,2,6.49659,14.7596,446,68
0026,2,7.46172,44.5105,433,75
0027,2,9.8562,inf,491,71
0028,2,8.80637,inf,506,88
0029,2,6.87206,inf,441,73
0030,2,8.14908,14.0551,476,69
0031,2,11.1283,inf,522,72
0032,2,9.85032,25.5568,573,72
0033,2,8.26347,179.771,544,68
0034,2,9.3317,20.7188,591,50
0035,2,7.25152,8.39812,582,51
0036,2,7.23081,9.90121,455,53
0037,2,7.51727,6.24305,476,35
0038,2,7.4383,12.5268,575,76
0039,2,6.71038,inf,603,89
0040,2,4.31073,259.722,634,97
0041,2,7.54957,28.2709,579,88
0042,2,6.43063,37.1345,574,85
0043,2,8.01582,99.2617,438,77
0044,2,5.91904,inf,481,85
0045,2,5.72978,42.0099,564,82
0046,2,7.70064,inf,494,84
0047,2,6.85171,inf,500,95
0048,2,12.5901,inf,529,96
0048,7,-0.1,-47.0635,5,47
0049,2,22.4918,inf,468,90
0049,7,0,-16.9782,2,43
0050,2,11.478,inf,391,88
0050,7,-0.1,inf,9,39
