image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,14.5798,338,59
0002,2,10.3291,12.3445,305,54
0003,2,32.3865,11.8924,321,57
0004,2,13.3166,12.6334,319,60
0005,2,11.5447,13.0276,340,52
0006,2,12.4463,13.4761,345,59
0007,2,11.6265,12.5645,315,62
0008,2,15.9386,13.4223,307,62
0009,2,12.2729,10.9292,302,62
0010,2,12.9956,13.3212,278,63
0011,2,13.097,11.0121,300,55
0012,2,9.82124,12.1102,300,68
0013,2,9.37135,12.611,314,69
0014,2,9.47393,11.7964,305,63
0015,2,7.30009,9.06495,286,61
0016,2,9.51171,12.3246,288,61
0017,2,9.93677,9.60009,273,56
0018,2,11.4691,8.56767,295,66
0019,2,10.211,12.0308,346,72
0020,2,6.29794,8.45601,423,69
0021,2,5.35619,9.49108,389,63
0022,2,10.0488,9.76237,422,84
0023,2,10.647,8.03802,487,75
0024,2,6.30222,9.85034,432,79
0025,2,6.49659,8.69093,446,80
0026,2,7.46172,7.98582,433,68
0027,2,9.8562,8.55029,491,85
0028,2,8.80637,10.4125,506,94
0029,2,6.87206,11.2445,441,85
0030,2,8.14908,12.943,476,83
0031,2,11.1283,12.4975,522,81
0032,2,9.85032,13.0523,573,90
0033,2,8.26347,12.9347,544,84
0034,2,9.3317,10.4317,591,68
0035,2,7.25152,9.57714,582,77
0036,2,7.23081,9.26084,455,79
0037,2,7.51727,7.89413,476,79
0038,2,7.4383,7.74645,575,119
0039,2,6.71038,8.10491,603,120
0040,2,4.31073,7.39162,634,111
0041,2,7.54957,7.69507,579,98
0042,2,6.43063,6.81084,574,105
0043,2,8.01582,7.33238,438,106
0044,2,5.91904,7.73299,481,116
0045,2,5.72978,7.25007,564,118
0046,2,7.70064,8.10603,494,114
0047,2,6.85171,10.2558,500,120
0048,2,12.5901,10.9945,529,109
0048,7,-0.1,-6.88538,5,181
0049,2,22.4918,11.964,468,111
0049,7,0,-6.60626,2,177
0050,2,11.478,17.1666,391,117
0050,7,-0.1,-6.45696,9,180
