image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.2487,338,94
0002,2,10.3291,14.1093,305,96
0003,2,32.3865,12.8635,321,107
0004,2,13.3166,14.0162,319,96
0005,2,11.5447,15.1909,340,91
0006,2,12.4463,13.7623,345,91
0007,2,11.6265,15.1771,315,109
0008,2,15.9386,14.1023,307,113
0009,2,12.2729,13.8949,302,110
0010,2,12.9956,11.834,278,115
0011,2,13.097,12.2031,300,107
0012,2,9.82124,11.1693,300,116
0013,2,9.37135,10.837,314,107
0014,2,9.47393,10.5676,305,115
0015,2,7.30009,10.0101,286,107
0016,2,9.51171,9.86541,288,111
0017,2,9.93677,9.60975,273,100
0018,2,11.4691,9.00451,295,106
0019,2,10.211,9.65986,346,109
0020,2,6.29794,8.57753,423,109
0021,2,5.35619,8.60826,389,106
0022,2,10.0488,7.89791,422,120
0023,2,10.647,8.84112,487,127
0024,2,6.30222,8.42155,432,131
0025,2,6.49659,9.29491,446,132
0026,2,7.46172,10.6433,433,141
0027,2,9.8562,10.3105,491,152
0028,2,8.80637,9.45345,506,142
0029,2,6.87206,9.38427,441,131
0030,2,8.14908,9.29236,476,121
0031,2,11.1283,11.5941,522,141
0032,2,9.85032,11.6339,573,149
0033,2,8.26347,10.5501,544,133
0034,2,9.3317,9.53755,591,134
0035,2,7.25152,8.41408,582,131
0036,2,7.23081,7.64687,455,131
0037,2,7.51727,7.55135,476,126
0038,2,7.4383,9.12984,575,178
0039,2,6.71038,10.5403,603,183
0040,2,4.31073,7.61869,634,182
0041,2,7.54957,8.952,579,182
0042,2,6.43063,7.81262,574,182
0043,2,8.01582,8.16073,438,187
0044,2,5.91904,10.4811,481,177
0045,2,5.72978,8.60061,564,177
0046,2,7.70064,10.059,494,178
0047,2,6.85171,10.0857,500,185
0048,2,12.5901,11.0742,529,166
0048,7,-0.1,-11.5381,5,222
0049,2,22.4918,14.4581,468,192
0049,7,0,-10.255,2,207
0050,2,11.478,17.8639,391,202
0050,7,-0.1,-11.4098,9,216
0051,2,15.9364,23.8544,393,186
0051,7,0.297054,-10.3695,4,216
0052,2,19.3389,42.9901,396,193
0052,7,-0.405534,-10.1895,7,238
0053,2,70.5045,107.341,411,205
0053,7,48.5011,-12.2425,8,219
0054,2,-94.7635,-109.552,420,217
0054,7,0.300652,-11.5361,5,192
0055,2,-201.547,-72.6335,419,193
0055,7,-0.299783,-11.0422,10,219
0056,2,-189.297,1929.25,440,204
0056,7,-138.453,-14.464,11,237
0057,2,684.931,-420.198,448,212
0057,7,-125.962,-19.3536,10,225
0058,2,270.483,-134.314,417,196
0058,7,81.4049,-20.2308,12,224
0059,2,-468.558,-403.619,452,214
0059,7,86.3974,-23.8591,12,222
0060,2,223.564,-359.122,416,220
0060,7,115.091,-22.048,10,239
0061,2,432.233,-331.032,408,203
0061,7,-1.59179,-22.3618,14,235
0062,2,-155.505,-349.55,440,216
0062,7,1.45648,-21.3054,13,229
0063,2,-993.211,-384.745,427,233
0063,7,-1.61272,-21.1506,16,255
0064,2,103.372,-317.474,418,214
0064,7,1.59843,-20.2109,12,250
0065,2,-105.01,-447.156,444,224
0065,7,76.7661,-20.0986,13,262
0066,2,139.046,-262.702,426,226
0066,7,-65.8988,-20.8876,11,253
0067,2,-109.02,-300.398,434,219
0067,7,-1.69546,-22.8504,16,254
0068,2,338.483,-434.731,434,220
0068,7,1.58767,-28.7511,13,262
0069,2,590.959,-560.124,428,227
0069,7,-1.61004,-45.4784,14,264
0070,2,-1003,-238.779,426,238
0070,7,1.46395,-63.5751,12,260
0071,2,334.827,-1204.41,442,237
0071,7,-1.559,-105.115,14,269
0072,2,-192.909,1767,443,247
0072,7,1.5423,-245.019,12,286
0073,2,253.032,-2030.31,422,234
0073,7,30.0217,1131.08,13,276
0074,2,450.786,1386.36,409,241
0074,7,-1.55124,266.366,14,277
0075,2,1012.47,1707.4,426,238
0075,7,1.45615,294.425,12,285
0076,2,-145.13,2463.45,437,243
0076,7,-40.7271,596.54,10,281
0077,2,-0.155063,-1888.91,13,248
