image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.5832,338,79
0002,2,10.3291,15.3642,305,80
0003,2,32.3865,13.5944,321,89
0004,2,13.3166,14.1511,319,90
0005,2,11.5447,15.4028,340,88
0006,2,12.4463,12.3248,345,88
0007,2,11.6265,16.3912,315,99
0008,2,15.9386,14.1697,307,96
0009,2,12.2729,14.0061,302,103
0010,2,12.9956,11.9645,278,93
0011,2,13.097,12.8704,300,92
0012,2,9.82124,10.4319,300,98
0013,2,9.37135,10.2528,314,104
0014,2,9.47393,10.4743,305,94
0015,2,7.30009,9.52666,286,90
0016,2,9.51171,10.0024,288,97
0017,2,9.93677,9.63699,273,92
0018,2,11.4691,9.26846,295,92
0019,2,10.211,9.88532,346,108
0020,2,6.29794,8.36781,423,103
0021,2,5.35619,9.01464,389,99
0022,2,10.0488,7.96628,422,118
0023,2,10.647,9.68696,487,110
0024,2,6.30222,8.31903,432,131
0025,2,6.49659,9.63494,446,113
0026,2,7.46172,9.68007,433,130
0027,2,9.8562,9.86797,491,128
0028,2,8.80637,9.81948,506,125
0029,2,6.87206,9.794,441,117
0030,2,8.14908,9.67715,476,133
0031,2,11.1283,11.1502,522,122
0032,2,9.85032,11.4267,573,104
0033,2,8.26347,10.7923,544,121
0034,2,9.3317,9.17078,591,121
0035,2,7.25152,8.8905,582,120
0036,2,7.23081,7.67404,455,129
0037,2,7.51727,7.2771,476,105
0038,2,7.4383,8.55498,575,156
0039,2,6.71038,10.5645,603,169
0040,2,4.31073,8.23126,634,168
0041,2,7.54957,8.38199,579,159
0042,2,6.43063,8.43661,574,153
0043,2,8.01582,7.82699,438,168
0044,2,5.91904,8.91979,481,160
0045,2,5.72978,8.56159,564,171
0046,2,7.70064,9.91186,494,154
0047,2,6.85171,11.0863,500,179
0048,2,12.5901,11.3885,529,163
0048,7,-0.1,-10.2026,5,192
0049,2,22.4918,14.0727,468,185
0049,7,0,-11.1151,2,187
0050,2,11.478,20.6633,391,202
0050,7,-0.1,-11.2276,9,206
0051,2,15.9364,24.1825,393,177
0051,7,0.297054,-11.4968,4,196
0052,2,19.3389,42.8958,396,193
0052,7,-0.405534,-10.3931,7,208
0053,2,70.5045,121.205,411,204
0053,7,48.5011,-12.553,8,183
0054,2,-94.7635,-116.61,420,208
0054,7,0.300652,-10.5111,5,188
0055,2,-201.547,-88.2999,419,177
0055,7,-0.299783,-13.1613,10,200
0056,2,-189.297,3566.24,440,193
0056,7,-138.453,-15.8778,11,212
0057,2,684.931,-458.716,448,201
0057,7,-125.962,-20.3227,10,199
0058,2,270.483,-136.167,417,186
0058,7,81.4049,-20.2134,12,204
0059,2,-468.558,-274.06,452,189
0059,7,86.3974,-17.517,12,218
0060,2,223.564,-517.422,416,202
0060,7,115.091,-20.5678,10,210
0061,2,432.233,-461.387,408,191
0061,7,-1.59179,-18.2073,14,211
0062,2,-155.505,-308.335,440,209
0062,7,1.45648,-18.6403,13,225
0063,2,-993.211,-489.916,427,223
0063,7,-1.61272,-19.8013,16,228
0064,2,103.372,-415.614,418,210
0064,7,1.59843,-18.4068,12,251
0065,2,-105.01,-433.816,444,222
0065,7,76.7661,-21.1676,13,233
0066,2,139.046,-303.237,426,224
0066,7,-65.8988,-20.9791,11,231
0067,2,-109.02,-367.606,434,215
0067,7,-1.69546,-24.029,16,231
0068,2,338.483,-777.929,434,210
0068,7,1.58767,-27.6708,13,245
0069,2,590.959,-634.133,428,230
0069,7,-1.61004,-45.3854,14,234
0070,2,-1003,-244.855,426,229
0070,7,1.46395,-60.9068,12,246
0071,2,334.827,-1495.71,442,240
0071,7,-1.559,-106.358,14,255
0072,2,-192.909,1475.31,443,240
0072,7,1.5423,-233.094,12,271
0073,2,253.032,-1888.59,422,240
0073,7,30.0217,896.278,13,273
0074,2,450.786,1382,409,247
0074,7,-1.55124,278.034,14,255
0075,2,1012.47,1523.32,426,237
0075,7,1.45615,285.889,12,261
0076,2,-145.13,1476.98,437,244
0076,7,-40.7271,487.466,10,271
0077,2,-0.155063,-1879.24,13,237
