image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,11.9154,338,59
0002,2,10.3291,15.0455,305,60
0003,2,32.3865,14.2566,321,65
0004,2,13.3166,14.6156,319,68
0005,2,11.5447,15.3428,340,62
0006,2,12.4463,15.3406,345,70
0007,2,11.6265,16.4926,315,87
0008,2,15.9386,13.1106,307,92
0009,2,12.2729,13.593,302,76
0010,2,12.9956,11.9137,278,87
0011,2,13.097,12.2786,300,72
0012,2,9.82124,10.5787,300,69
0013,2,9.37135,11.3285,314,85
0014,2,9.47393,9.69895,305,83
0015,2,7.30009,9.51456,286,63
0016,2,9.51171,9.6653,288,71
0017,2,9.93677,9.73913,273,73
0018,2,11.4691,9.30698,295,66
0019,2,10.211,10.0526,346,81
0020,2,6.29794,8.69926,423,76
0021,2,5.35619,9.58381,389,77
0022,2,10.0488,8.54451,422,96
0023,2,10.647,8.96915,487,92
0024,2,6.30222,8.4635,432,96
0025,2,6.49659,9.6276,446,82
0026,2,7.46172,10.915,433,103
0027,2,9.8562,10.4863,491,94
0028,2,8.80637,11.2844,506,86
0029,2,6.87206,9.79262,441,89
0030,2,8.14908,9.73193,476,94
0031,2,11.1283,11.6257,522,90
0032,2,9.85032,12.2499,573,97
0033,2,8.26347,10.3579,544,96
0034,2,9.3317,9.75622,591,89
0035,2,7.25152,9.1289,582,102
0036,2,7.23081,7.98477,455,98
0037,2,7.51727,7.4158,476,92
0038,2,7.4383,8.55605,575,131
0039,2,6.71038,9.15341,603,127
0040,2,4.31073,8.65044,634,132
0041,2,7.54957,9.06563,579,113
0042,2,6.43063,8.21361,574,130
0043,2,8.01582,9.62407,438,127
0044,2,5.91904,9.41444,481,125
0045,2,5.72978,9.54678,564,129
0046,2,7.70064,9.51288,494,123
0047,2,6.85171,10.6802,500,142
0048,2,12.5901,12.0098,529,123
0048,7,-0.1,-11.208,5,133
0049,2,22.4918,13.9264,468,140
0049,7,0,-10.3462,2,138
0050,2,11.478,20.7011,391,160
0050,7,-0.1,-12.2094,9,141
0051,2,15.9364,23.9608,393,150
0051,7,0.297054,-11.6465,4,138
0052,2,19.3389,41.8776,396,159
0052,7,-0.405534,-12.4083,7,153
0053,2,70.5045,122.635,411,182
0053,7,48.5011,-14.126,8,154
0054,2,-94.7635,-118.595,420,191
0054,7,0.300652,-11.3362,5,133
0055,2,-201.547,-77.3127,419,158
0055,7,-0.299783,-13.6749,10,148
0056,2,-189.297,3862.65,440,168
0056,7,-138.453,-15.6498,11,150
0057,2,684.931,-8999.37,448,174
0057,7,-125.962,-18.1969,10,168
0058,2,270.483,-122.837,417,146
0058,7,81.4049,-23.4565,12,151
0059,2,-468.558,-299.415,452,157
0059,7,86.3974,-20.9043,12,169
0060,2,223.564,-739.11,416,184
0060,7,115.091,-22.4829,10,165
0061,2,432.233,-449.497,408,164
0061,7,-1.59179,-24.2506,14,163
0062,2,-155.505,-360.105,440,171
0062,7,1.45648,-17.1273,13,159
0063,2,-993.211,-383.213,427,211
0063,7,-1.61272,-22.7381,16,192
0064,2,103.372,-382.433,418,186
0064,7,1.59843,-20.4062,12,177
0065,2,-105.01,-481.298,444,202
0065,7,76.7661,-24.2657,13,197
0066,2,139.046,-271.047,426,208
0066,7,-65.8988,-22.4486,11,193
0067,2,-109.02,-278.35,434,188
0067,7,-1.69546,-25.9406,16,203
0068,2,338.483,-1722.92,434,183
0068,7,1.58767,-32.0047,13,195
0069,2,590.959,-642.649,428,214
0069,7,-1.61004,-56.1231,14,202
0070,2,-1003,-247.736,426,221
0070,7,1.46395,-73.5588,12,221
0071,2,334.827,-1154.93,442,196
0071,7,-1.559,-104.493,14,214
0072,2,-192.909,2304.21,443,231
0072,7,1.5423,-256.594,12,259
0073,2,253.032,-1493.33,422,225
0073,7,30.0217,812.237,13,256
0074,2,450.786,1306.57,409,227
0074,7,-1.55124,285.975,14,251
0075,2,1012.47,1701.08,426,220
0075,7,1.45615,268.246,12,252
0076,2,-145.13,4443.3,437,225
0076,7,-40.7271,534.947,10,262
0077,2,-0.155063,-1558.57,13,219
