image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,11.9906,338,48
0002,2,10.3291,15.141,305,61
0003,2,32.3865,13.5538,321,57
0004,2,13.3166,13.9104,319,66
0005,2,11.5447,13.8396,340,61
0006,2,12.4463,13.3503,345,54
0007,2,11.6265,16.0692,315,83
0008,2,15.9386,13.7357,307,87
0009,2,12.2729,13.286,302,74
0010,2,12.9956,12.3056,278,84
0011,2,13.097,11.7252,300,63
0012,2,9.82124,10.4699,300,73
0013,2,9.37135,10.0426,314,71
0014,2,9.47393,10.9844,305,79
0015,2,7.30009,10.5644,286,74
0016,2,9.51171,10.5782,288,78
0017,2,9.93677,9.04355,273,63
0018,2,11.4691,8.73027,295,56
0019,2,10.211,9.5798,346,73
0020,2,6.29794,8.20484,423,60
0021,2,5.35619,8.90923,389,72
0022,2,10.0488,7.96628,422,86
0023,2,10.647,9.11936,487,83
0024,2,6.30222,8.89208,432,80
0025,2,6.49659,8.84789,446,87
0026,2,7.46172,8.93023,433,93
0027,2,9.8562,9.91103,491,79
0028,2,8.80637,9.93826,506,86
0029,2,6.87206,9.95076,441,86
0030,2,8.14908,9.74363,476,90
0031,2,11.1283,11.7792,522,84
0032,2,9.85032,11.5379,573,82
0033,2,8.26347,10.6473,544,84
0034,2,9.3317,10.0713,591,81
0035,2,7.25152,8.84463,582,90
0036,2,7.23081,7.58164,455,91
0037,2,7.51727,7.01495,476,71
0038,2,7.4383,8.52762,575,107
0039,2,6.71038,12.4735,603,105
0040,2,4.31073,8.01075,634,117
0041,2,7.54957,7.64636,579,98
0042,2,6.43063,7.24969,574,103
0043,2,8.01582,8.41469,438,111
0044,2,5.91904,8.66518,481,108
0045,2,5.72978,8.57972,564,108
0046,2,7.70064,10.9492,494,116
0047,2,6.85171,12.2285,500,140
0048,2,12.5901,11.9496,529,115
0048,7,-0.1,-10.7701,5,141
0049,2,22.4918,16.1123,468,134
0049,7,0,-10.3709,2,125
0050,2,11.478,18.8553,391,143
0050,7,-0.1,-10.7592,9,116
0051,2,15.9364,24.7923,393,131
0051,7,0.297054,-9.36275,4,129
0052,2,19.3389,49.4724,396,146
0052,7,-0.405534,-11.0174,7,127
0053,2,70.5045,94.0311,411,164
0053,7,48.5011,-11.0655,8,129
0054,2,-94.7635,-129.718,420,177
0054,7,0.300652,-9.61087,5,121
0055,2,-201.547,-74.4379,419,131
0055,7,-0.299783,-11.6889,10,122
0056,2,-189.297,6409.16,440,147
0056,7,-138.453,-17.4885,11,139
0057,2,684.931,-559.728,448,165
0057,7,-125.962,-17.1006,10,154
0058,2,270.483,-113.185,417,139
0058,7,81.4049,-19.2993,12,144
0059,2,-468.558,-533.714,452,139
0059,7,86.3974,-19.712,12,140
0060,2,223.564,-487.905,416,176
0060,7,115.091,-21.2657,10,155
0061,2,432.233,-408.654,408,159
0061,7,-1.59179,-18.8849,14,160
0062,2,-155.505,-306.024,440,163
0062,7,1.45648,-21.0895,13,152
0063,2,-993.211,-419.334,427,202
0063,7,-1.61272,-22.1357,16,198
0064,2,103.372,-524.734,418,184
0064,7,1.59843,-24.1316,12,179
0065,2,-105.01,-550.792,444,191
0065,7,76.7661,-23.9018,13,190
0066,2,139.046,-289.145,426,204
0066,7,-65.8988,-23.7886,11,187
0067,2,-109.02,-306.952,434,197
0067,7,-1.69546,-27.8836,16,181
0068,2,338.483,-555.473,434,184
0068,7,1.58767,-35.7814,13,185
0069,2,590.959,-796.9,428,202
0069,7,-1.61004,-50.0376,14,200
0070,2,-1003,-254.29,426,192
0070,7,1.46395,-69.1252,12,203
0071,2,334.827,-2080.41,442,197
0071,7,-1.559,-118.555,14,211
0072,2,-192.909,2304.21,443,220
0072,7,1.5423,-285.174,12,256
0073,2,253.032,-1493.33,422,220
0073,7,30.0217,1265.59,13,234
0074,2,450.786,1326.47,409,221
0074,7,-1.55124,253.696,14,254
0075,2,1012.47,1452.41,426,213
0075,7,1.45615,324.561,12,246
0076,2,-145.13,1407.27,437,223
0076,7,-40.7271,587.212,10,258
0077,2,-0.155063,-873.937,13,210
