image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.3917,338,101
0002,2,10.3291,14.6192,305,111
0003,2,32.3865,13.1886,321,118
0004,2,13.3166,14.1847,319,103
0005,2,11.5447,16.5952,340,102
0006,2,12.4463,13.9616,345,102
0007,2,11.6265,15.4755,315,121
0008,2,15.9386,13.7822,307,118
0009,2,12.2729,14.0957,302,120
0010,2,12.9956,11.7553,278,130
0011,2,13.097,12.2206,300,118
0012,2,9.82124,11.1784,300,125
0013,2,9.37135,10.7984,314,118
0014,2,9.47393,10.533,305,122
0015,2,7.30009,10.2331,286,115
0016,2,9.51171,10.0291,288,125
0017,2,9.93677,9.20671,273,114
0018,2,11.4691,9.08333,295,117
0019,2,10.211,9.69349,346,124
0020,2,6.29794,8.96099,423,127
0021,2,5.35619,8.69879,389,121
0022,2,10.0488,7.85844,422,138
0023,2,10.647,8.77634,487,140
0024,2,6.30222,8.71293,432,151
0025,2,6.49659,9.87605,446,139
0026,2,7.46172,10.713,433,154
0027,2,9.8562,10.8446,491,167
0028,2,8.80637,9.43649,506,153
0029,2,6.87206,9.57878,441,149
0030,2,8.14908,10.0385,476,152
0031,2,11.1283,11.5941,522,160
0032,2,9.85032,11.8909,573,157
0033,2,8.26347,11.0735,544,167
0034,2,9.3317,9.40195,591,155
0035,2,7.25152,8.42151,582,151
0036,2,7.23081,7.63117,455,145
0037,2,7.51727,7.77343,476,139
0038,2,7.4383,10.258,575,198
0039,2,6.71038,10.1762,603,206
0040,2,4.31073,8.56222,634,206
0041,2,7.54957,9.40486,579,202
0042,2,6.43063,7.75916,574,206
0043,2,8.01582,8.49855,438,207
0044,2,5.91904,9.9816,481,200
0045,2,5.72978,8.5628,564,191
0046,2,7.70064,10.2978,494,197
0047,2,6.85171,10.1539,500,201
0048,2,12.5901,11.3759,529,185
0048,7,-0.1,-10.264,5,253
0049,2,22.4918,14.1975,468,209
0049,7,0,-10.8139,2,240
0050,2,11.478,18.2246,391,212
0050,7,-0.1,-11.3526,9,242
0051,2,15.9364,23.5664,393,200
0051,7,0.297054,-9.67452,4,248
0052,2,19.3389,40.8237,396,214
0052,7,-0.405534,-10.8048,7,257
0053,2,70.5045,111.53,411,214
0053,7,48.5011,-12.4141,8,250
0054,2,-94.7635,-106.133,420,231
0054,7,0.300652,-10.6335,5,232
0055,2,-201.547,-72.4093,419,214
0055,7,-0.299783,-13.3356,10,226
0056,2,-189.297,-2156.5,440,216
0056,7,-138.453,-17.8837,11,240
0057,2,684.931,-555.478,448,220
0057,7,-125.962,-17.2833,10,254
0058,2,270.483,-131.327,417,209
0058,7,81.4049,-18.0543,12,255
0059,2,-468.558,-330.961,452,223
0059,7,86.3974,-18.5576,12,250
0060,2,223.564,-365.914,416,225
0060,7,115.091,-20.4717,10,255
0061,2,432.233,-374.596,408,213
0061,7,-1.59179,-19.6889,14,257
0062,2,-155.505,-301.852,440,222
0062,7,1.45648,-18.7433,13,256
0063,2,-993.211,-391.356,427,237
0063,7,-1.61272,-18.4736,16,271
0064,2,103.372,-321.941,418,226
0064,7,1.59843,-19.8949,12,276
0065,2,-105.01,-446.96,444,228
0065,7,76.7661,-19.8449,13,273
0066,2,139.046,-275.848,426,230
0066,7,-65.8988,-20.3939,11,271
0067,2,-109.02,-336.859,434,224
0067,7,-1.69546,-23.498,16,272
0068,2,338.483,-427.701,434,228
0068,7,1.58767,-27.5304,13,284
0069,2,590.959,-556.757,428,239
0069,7,-1.61004,-43.8436,14,276
0070,2,-1003,-240.811,426,241
0070,7,1.46395,-57.8967,12,277
0071,2,334.827,-1203.16,442,240
0071,7,-1.559,-107.895,14,280
0072,2,-192.909,1687.48,443,250
0072,7,1.5423,-237.931,12,290
0073,2,253.032,-2369.09,422,243
0073,7,30.0217,989.497,13,290
0074,2,450.786,1392.69,409,252
0074,7,-1.55124,269.083,14,282
0075,2,1012.47,1573.75,426,247
0075,7,1.45615,275.773,12,291
0076,2,-145.13,2885.78,437,250
0076,7,-40.7271,569.96,10,291
0077,2,-0.155063,-2385.94,13,251
