image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.994,338,81
0002,2,10.3291,13.0946,305,91
0003,2,32.3865,13.6711,321,116
0004,2,13.3166,14.6078,319,93
0005,2,11.5447,13.5831,340,88
0006,2,12.4463,14.8534,345,108
0007,2,11.6265,13.4611,315,120
0008,2,15.9386,16.8297,307,102
0009,2,12.2729,15.2453,302,119
0010,2,12.9956,11.9153,278,103
0011,2,13.097,12.2422,300,84
0012,2,9.82124,12.7471,300,114
0013,2,9.37135,13.5679,314,117
0014,2,9.47393,10.3713,305,120
0015,2,7.30009,11.8821,286,123
0016,2,9.51171,12.1509,288,131
0017,2,9.93677,8.76497,273,123
0018,2,11.4691,10.7774,295,120
0019,2,10.211,11.4791,346,160
0020,2,6.29794,11.5095,423,147
0021,2,5.35619,8.05259,389,165
0022,2,10.0488,9.69905,422,178
0023,2,10.647,10.0607,487,170
0024,2,6.30222,10.0914,432,159
0025,2,6.49659,9.19705,446,169
0026,2,7.46172,9.99205,433,197
0027,2,9.8562,14.0116,491,172
0028,2,8.80637,12.842,506,184
0029,2,6.87206,11.3777,441,168
0030,2,8.14908,13.6815,476,169
0031,2,11.1283,13.098,522,183
0032,2,9.85032,15.8498,573,177
0033,2,8.26347,12.8209,544,169
0034,2,9.3317,9.28207,591,173
0035,2,7.25152,9.74387,582,179
0036,2,7.23081,9.59043,455,199
0037,2,7.51727,8.63667,476,165
0038,2,7.4383,10.948,575,242
0039,2,6.71038,9.10433,603,240
0040,2,4.31073,10.1219,634,214
0041,2,7.54957,7.52625,579,205
0042,2,6.43063,7.45212,574,233
0043,2,8.01582,9.13029,438,230
0044,2,5.91904,8.60076,481,239
0045,2,5.72978,9.31806,564,210
0046,2,7.70064,10.6248,494,228
0047,2,6.85171,12.0072,500,221
0048,2,12.5901,13.1928,529,205
0048,7,-0.1,-9.36665,5,310
0049,2,22.4918,12.464,468,243
0049,7,0,-7.40816,2,348
0050,2,11.478,18.6067,391,238
0050,7,-0.1,-7.44984,9,323
0051,2,15.9364,24.603,393,254
0051,7,0.297054,-8.66627,4,328
0052,2,19.3389,80.7823,396,261
0052,7,-0.405534,-8.57879,7,358
0053,2,70.5045,115.458,411,288
0053,7,48.5011,-6.57478,8,360
0054,2,-94.7635,-246.829,420,305
0054,7,0.300652,-9.00424,5,306
0055,2,-201.547,-80.542,419,195
0055,7,-0.299783,-8.69389,10,351
0056,2,-189.297,1387.54,440,237
0056,7,-138.453,-9.61682,11,373
0057,2,684.931,1626.84,448,275
0057,7,-125.962,-12.5836,10,382
0058,2,270.483,-136.966,417,241
0058,7,81.4049,-13.5883,12,358
0059,2,-468.558,-179.665,452,233
0059,7,86.3974,-12.6857,12,375
0060,2,223.564,-3001.14,416,306
0060,7,115.091,-14.7218,10,382
0061,2,432.233,-539.643,408,245
0061,7,-1.59179,-14.423,14,357
0062,2,-155.505,-195.511,440,264
0062,7,1.45648,-13.8261,13,365
0063,2,-993.211,-615.738,427,309
0063,7,-1.61272,-13.2158,16,392
0064,2,103.372,-1991.37,418,283
0064,7,1.59843,-14.3438,12,359
0065,2,-105.01,-2680.75,444,319
0065,7,76.7661,-15.8857,13,431
0066,2,139.046,-1356.38,426,314
0066,7,-65.8988,-18.2726,11,385
0067,2,-109.02,-253.257,434,308
0067,7,-1.69546,-18.1589,16,402
0068,2,338.483,17478,434,302
0068,7,1.58767,-23.5734,13,418
0069,2,590.959,-621.391,428,327
0069,7,-1.61004,-27.4335,14,461
0070,2,-1003,-1459.15,426,317
0070,7,1.46395,-53.7289,12,437
0071,2,334.827,-1258.61,442,333
0071,7,-1.559,-89.216,14,450
0072,2,-192.909,1048.44,443,325
0072,7,1.5423,-343.861,12,493
0073,2,253.032,-1184.43,422,340
0073,7,30.0217,2429.13,13,462
0074,2,450.786,24033.2,409,343
0074,7,-1.55124,476.233,14,521
0075,2,1012.47,3846.24,426,358
0075,7,1.45615,388.544,12,503
0076,2,-145.13,1686.72,437,335
0076,7,-40.7271,490.614,10,527
0077,2,-0.155063,46381.6,13,335
