image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,11.9882,338,82
0002,2,10.3291,21.468,305,105
0003,2,32.3865,14.9839,321,110
0004,2,13.3166,16.3706,319,88
0005,2,11.5447,27.6679,340,85
0006,2,12.4463,14.6337,345,97
0007,2,11.6265,15.5437,315,111
0008,2,15.9386,18.9278,307,94
0009,2,12.2729,14.8376,302,113
0010,2,12.9956,12.7061,278,109
0011,2,13.097,12.0802,300,108
0012,2,9.82124,11.7903,300,124
0013,2,9.37135,12.7657,314,123
0014,2,9.47393,11.2707,305,115
0015,2,7.30009,13.4054,286,131
0016,2,9.51171,11.0861,288,108
0017,2,9.93677,10.098,273,122
0018,2,11.4691,12.9238,295,138
0019,2,10.211,10.7746,346,163
0020,2,6.29794,12.2989,423,144
0021,2,5.35619,9.72577,389,126
0022,2,10.0488,11.0383,422,163
0023,2,10.647,11.1187,487,158
0024,2,6.30222,9.75559,432,152
0025,2,6.49659,11.309,446,147
0026,2,7.46172,11.1175,433,178
0027,2,9.8562,14.5476,491,172
0028,2,8.80637,11.4833,506,203
0029,2,6.87206,13.1564,441,185
0030,2,8.14908,16.6084,476,186
0031,2,11.1283,19.4038,522,183
0032,2,9.85032,16.298,573,176
0033,2,8.26347,15.5395,544,172
0034,2,9.3317,12.5922,591,155
0035,2,7.25152,10.5375,582,178
0036,2,7.23081,9.08763,455,172
0037,2,7.51727,8.20973,476,162
0038,2,7.4383,10.1286,575,219
0039,2,6.71038,10.243,603,236
0040,2,4.31073,10.1129,634,216
0041,2,7.54957,8.09738,579,191
0042,2,6.43063,7.62283,574,230
0043,2,8.01582,8.40569,438,213
0044,2,5.91904,8.25968,481,235
0045,2,5.72978,9.34924,564,218
0046,2,7.70064,10.1875,494,217
0047,2,6.85171,10.3623,500,201
0048,2,12.5901,13.2036,529,216
0048,7,-0.1,-8.47869,5,306
0049,2,22.4918,14.323,468,219
0049,7,0,-8.43303,2,322
0050,2,11.478,18.1744,391,234
0050,7,-0.1,-7.92774,9,325
0051,2,15.9364,27.2143,393,239
0051,7,0.297054,-8.33441,4,353
0052,2,19.3389,44.2119,396,252
0052,7,-0.405534,-8.15811,7,348
0053,2,70.5045,144.573,411,309
0053,7,48.5011,-6.93851,8,337
0054,2,-94.7635,-193.697,420,318
0054,7,0.300652,-7.97647,5,305
0055,2,-201.547,-94.6264,419,217
0055,7,-0.299783,-7.0455,10,348
0056,2,-189.297,-608.361,440,227
0056,7,-138.453,-9.32416,11,325
0057,2,684.931,-1277,448,299
0057,7,-125.962,-12.571,10,344
0058,2,270.483,-312.989,417,247
0058,7,81.4049,-10.5504,12,349
0059,2,-468.558,-838.193,452,235
0059,7,86.3974,-11.0545,12,341
0060,2,223.564,-612.474,416,331
0060,7,115.091,-12.6939,10,355
0061,2,432.233,-707.202,408,258
0061,7,-1.59179,-13.0248,14,352
0062,2,-155.505,-542.66,440,283
0062,7,1.45648,-12.9378,13,390
0063,2,-993.211,-717.54,427,365
0063,7,-1.61272,-13.4757,16,410
0064,2,103.372,-523.698,418,331
0064,7,1.59843,-16.9131,12,401
0065,2,-105.01,-1300.1,444,349
0065,7,76.7661,-15.9864,13,397
0066,2,139.046,-423.965,426,343
0066,7,-65.8988,-18.2698,11,398
0067,2,-109.02,-709.786,434,336
0067,7,-1.69546,-17.183,16,390
0068,2,338.483,-930.345,434,331
0068,7,1.58767,-23.3088,13,420
0069,2,590.959,-453.161,428,357
0069,7,-1.61004,-28.8836,14,442
0070,2,-1003,-1081.73,426,355
0070,7,1.46395,-51.1932,12,458
0071,2,334.827,-1778.25,442,335
0071,7,-1.559,-87.9357,14,486
0072,2,-192.909,4015.53,443,356
0072,7,1.5423,-353.519,12,533
0073,2,253.032,-2667.59,422,366
0073,7,30.0217,1179.78,13,555
0074,2,450.786,2358.67,409,375
0074,7,-1.55124,400.038,14,578
0075,2,1012.47,-42513.6,426,384
0075,7,1.45615,339.609,12,545
0076,2,-145.13,8135.64,437,383
0076,7,-40.7271,483.644,10,571
0077,2,-0.155063,2983.22,13,373
