image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,13.6992,338,68
0002,2,10.3291,17.3871,305,94
0003,2,32.3865,13.2749,321,96
0004,2,13.3166,15.0851,319,75
0005,2,11.5447,31.8945,340,64
0006,2,12.4463,14.8626,345,82
0007,2,11.6265,17.2715,315,98
0008,2,15.9386,16.2216,307,82
0009,2,12.2729,15.8269,302,88
0010,2,12.9956,12.2923,278,95
0011,2,13.097,12.7008,300,86
0012,2,9.82124,12.2816,300,104
0013,2,9.37135,11.8439,314,100
0014,2,9.47393,11.5357,305,96
0015,2,7.30009,12.9895,286,90
0016,2,9.51171,10.1386,288,84
0017,2,9.93677,9.85287,273,84
0018,2,11.4691,9.93611,295,103
0019,2,10.211,10.5959,346,127
0020,2,6.29794,12.1423,423,123
0021,2,5.35619,10.6975,389,107
0022,2,10.0488,10.8554,422,134
0023,2,10.647,10.8394,487,133
0024,2,6.30222,10.4203,432,135
0025,2,6.49659,11.5888,446,128
0026,2,7.46172,12.9175,433,149
0027,2,9.8562,15.15,491,151
0028,2,8.80637,12.9531,506,151
0029,2,6.87206,13.1468,441,158
0030,2,8.14908,12.3171,476,157
0031,2,11.1283,21.9391,522,152
0032,2,9.85032,20.3858,573,128
0033,2,8.26347,13.7018,544,145
0034,2,9.3317,18.4079,591,131
0035,2,7.25152,10.186,582,129
0036,2,7.23081,9.32468,455,149
0037,2,7.51727,8.7534,476,123
0038,2,7.4383,9.99166,575,172
0039,2,6.71038,11.8358,603,198
0040,2,4.31073,9.62398,634,174
0041,2,7.54957,8.86941,579,162
0042,2,6.43063,7.37449,574,175
0043,2,8.01582,7.69246,438,158
0044,2,5.91904,8.45268,481,181
0045,2,5.72978,9.02694,564,171
0046,2,7.70064,11.2215,494,162
0047,2,6.85171,11.3635,500,157
0048,2,12.5901,13.3896,529,173
0048,7,-0.1,-8.16539,5,206
0049,2,22.4918,14.1357,468,165
0049,7,0,-8.56037,2,216
0050,2,11.478,21.9215,391,180
0050,7,-0.1,-8.53567,9,211
0051,2,15.9364,26.9973,393,192
0051,7,0.297054,-9.55724,4,222
0052,2,19.3389,42.7216,396,200
0052,7,-0.405534,-9.6679,7,256
0053,2,70.5045,164.941,411,258
0053,7,48.5011,-8.94961,8,229
0054,2,-94.7635,-222.893,420,253
0054,7,0.300652,-8.80774,5,202
0055,2,-201.547,-90.4713,419,167
0055,7,-0.299783,-8.25846,10,217
0056,2,-189.297,4173.4,440,164
0056,7,-138.453,-10.2165,11,245
0057,2,684.931,2114.3,448,240
0057,7,-125.962,-14.6419,10,262
0058,2,270.483,-1310.74,417,182
0058,7,81.4049,-12.6901,12,241
0059,2,-468.558,-287.566,452,182
0059,7,86.3974,-13.7266,12,251
0060,2,223.564,-508.584,416,236
0060,7,115.091,-13.7772,10,263
0061,2,432.233,-319.98,408,195
0061,7,-1.59179,-13.6153,14,238
0062,2,-155.505,-430.953,440,201
0062,7,1.45648,-13.8351,13,235
0063,2,-993.211,-991.401,427,279
0063,7,-1.61272,-13.497,16,294
0064,2,103.372,-500.254,418,250
0064,7,1.59843,-17.6917,12,271
0065,2,-105.01,-1879.1,444,261
0065,7,76.7661,-15.8791,13,303
0066,2,139.046,-454.185,426,268
0066,7,-65.8988,-18.0302,11,274
0067,2,-109.02,-593.263,434,258
0067,7,-1.69546,-20.4393,16,280
0068,2,338.483,-852.82,434,249
0068,7,1.58767,-24.1237,13,298
0069,2,590.959,-386.107,428,280
0069,7,-1.61004,-33.9551,14,314
0070,2,-1003,-815.106,426,287
0070,7,1.46395,-50.5484,12,326
0071,2,334.827,-1944.21,442,269
0071,7,-1.559,-80.6313,14,354
0072,2,-192.909,3016.67,443,289
0072,7,1.5423,-397.61,12,408
0073,2,253.032,6003.72,422,305
0073,7,30.0217,1352.44,13,394
0074,2,450.786,3368.13,409,304
0074,7,-1.55124,442.495,14,428
0075,2,1012.47,-inf,426,305
0075,7,1.45615,269.464,12,424
0076,2,-145.13,4558.58,437,303
0076,7,-40.7271,500.317,10,426
0077,2,-0.155063,3422.16,13,300
