image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,14.6831,338,55
0002,2,10.3291,20.3997,305,61
0003,2,32.3865,14.7169,321,74
0004,2,13.3166,15.5328,319,54
0005,2,11.5447,22.3963,340,45
0006,2,12.4463,26.8508,345,73
0007,2,11.6265,15.6848,315,76
0008,2,15.9386,13.8294,307,69
0009,2,12.2729,14.3993,302,74
0010,2,12.9956,12.0746,278,76
0011,2,13.097,11.6932,300,68
0012,2,9.82124,13.5057,300,75
0013,2,9.37135,11.0569,314,77
0014,2,9.47393,11.1358,305,89
0015,2,7.30009,11.9488,286,86
0016,2,9.51171,12.5589,288,77
0017,2,9.93677,8.78169,273,66
0018,2,11.4691,11.2937,295,78
0019,2,10.211,12.0523,346,103
0020,2,6.29794,9.98218,423,92
0021,2,5.35619,9.06105,389,87
0022,2,10.0488,11.2673,422,106
0023,2,10.647,11.5806,487,86
0024,2,6.30222,10.6022,432,98
0025,2,6.49659,14.7694,446,106
0026,2,7.46172,13.4522,433,106
0027,2,9.8562,11.6732,491,102
0028,2,8.80637,13.017,506,119
0029,2,6.87206,14.7216,441,122
0030,2,8.14908,15.6843,476,115
0031,2,11.1283,20.0094,522,114
0032,2,9.85032,14.6996,573,100
0033,2,8.26347,20.3626,544,97
0034,2,9.3317,12.1801,591,91
0035,2,7.25152,11.5917,582,103
0036,2,7.23081,8.76301,455,100
0037,2,7.51727,8.49356,476,94
0038,2,7.4383,10.4664,575,146
0039,2,6.71038,12.6014,603,146
0040,2,4.31073,11.1724,634,123
0041,2,7.54957,8.24169,579,137
0042,2,6.43063,6.93632,574,134
0043,2,8.01582,7.75511,438,134
0044,2,5.91904,7.4753,481,143
0045,2,5.72978,9.00784,564,135
0046,2,7.70064,9.27619,494,144
0047,2,6.85171,11.2441,500,145
0048,2,12.5901,12.9096,529,132
0048,7,-0.1,-8.02817,5,170
0049,2,22.4918,15.5131,468,160
0049,7,0,-7.93121,2,196
0050,2,11.478,21.7154,391,172
0050,7,-0.1,-7.36763,9,196
0051,2,15.9364,25.6678,393,174
0051,7,0.297054,-7.76779,4,211
0052,2,19.3389,55.4296,396,185
0052,7,-0.405534,-8.95069,7,236
0053,2,70.5045,149.202,411,237
0053,7,48.5011,-8.41482,8,200
0054,2,-94.7635,-211.571,420,237
0054,7,0.300652,-9.08068,5,176
0055,2,-201.547,-90.813,419,137
0055,7,-0.299783,-7.49547,10,207
0056,2,-189.297,884.794,440,148
0056,7,-138.453,-10.0838,11,199
0057,2,684.931,533.508,448,227
0057,7,-125.962,-14.431,10,241
0058,2,270.483,-526.454,417,174
0058,7,81.4049,-11.719,12,231
0059,2,-468.558,-147.51,452,170
0059,7,86.3974,-13.9369,12,203
0060,2,223.564,2890.48,416,258
0060,7,115.091,-12.5118,10,234
0061,2,432.233,-1102.45,408,199
0061,7,-1.59179,-14.3661,14,241
0062,2,-155.505,-381.12,440,219
0062,7,1.45648,-14.7655,13,257
0063,2,-993.211,-760.611,427,312
0063,7,-1.61272,-17.0299,16,285
0064,2,103.372,-910.023,418,272
0064,7,1.59843,-17.4794,12,286
0065,2,-105.01,-1612.3,444,307
0065,7,76.7661,-19.6758,13,295
0066,2,139.046,-466.547,426,304
0066,7,-65.8988,-22.8075,11,299
0067,2,-109.02,-1086.99,434,280
0067,7,-1.69546,-23.183,16,244
0068,2,338.483,-2860.82,434,264
0068,7,1.58767,-28.9633,13,296
0069,2,590.959,-633.808,428,321
0069,7,-1.61004,-34.1835,14,332
0070,2,-1003,-1837.01,426,298
0070,7,1.46395,-60.7468,12,333
0071,2,334.827,-1368.31,442,294
0071,7,-1.559,-105.603,14,342
0072,2,-192.909,8633.22,443,306
0072,7,1.5423,-392.742,12,435
0073,2,253.032,-1438.21,422,332
0073,7,30.0217,798.693,13,428
0074,2,450.786,5842.33,409,336
0074,7,-1.55124,356.132,14,457
0075,2,1012.47,16395.4,426,335
0075,7,1.45615,416.978,12,453
0076,2,-145.13,1974.7,437,341
0076,7,-40.7271,536.059,10,485
0077,2,-0.155063,-inf,13,307
