image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,13.0279,338,109
0002,2,10.3291,16.1568,305,122
0003,2,32.3865,17.0167,321,149
0004,2,13.3166,13.1981,319,129
0005,2,11.5447,32.0134,340,107
0006,2,12.4463,14.2181,345,121
0007,2,11.6265,13.8509,315,133
0008,2,15.9386,16.15,307,124
0009,2,12.2729,17.3778,302,142
0010,2,12.9956,14.6972,278,147
0011,2,13.097,14.8177,300,127
0012,2,9.82124,10.9057,300,160
0013,2,9.37135,13.0322,314,156
0014,2,9.47393,10.7272,305,148
0015,2,7.30009,14.6134,286,155
0016,2,9.51171,10.8982,288,137
0017,2,9.93677,10.0029,273,160
0018,2,11.4691,11.9679,295,172
0019,2,10.211,11.0391,346,209
0020,2,6.29794,11.7538,423,190
0021,2,5.35619,9.64959,389,181
0022,2,10.0488,11.1436,422,203
0023,2,10.647,11.8356,487,199
0024,2,6.30222,11.2714,432,212
0025,2,6.49659,10.3417,446,216
0026,2,7.46172,12.8607,433,243
0027,2,9.8562,17.9714,491,247
0028,2,8.80637,14.3794,506,253
0029,2,6.87206,15.1418,441,233
0030,2,8.14908,20.4803,476,226
0031,2,11.1283,19.0087,522,237
0032,2,9.85032,19.4498,573,218
0033,2,8.26347,18.713,544,225
0034,2,9.3317,13.1127,591,221
0035,2,7.25152,10.235,582,228
0036,2,7.23081,8.89564,455,224
0037,2,7.51727,9.14361,476,193
0038,2,7.4383,10.757,575,299
0039,2,6.71038,9.52605,603,315
0040,2,4.31073,10.6989,634,296
0041,2,7.54957,8.30317,579,277
0042,2,6.43063,6.64455,574,293
0043,2,8.01582,8.41727,438,292
0044,2,5.91904,9.19723,481,302
0045,2,5.72978,8.6222,564,282
0046,2,7.70064,9.31295,494,271
0047,2,6.85171,11.0018,500,267
0048,2,12.5901,12.9167,529,258
0048,7,-0.1,-8.25247,5,416
0049,2,22.4918,14.6583,468,277
0049,7,0,-8.52162,2,424
0050,2,11.478,20.1086,391,285
0050,7,-0.1,-8.66824,9,435
0051,2,15.9364,27.1033,393,314
0051,7,0.297054,-7.86609,4,453
0052,2,19.3389,55.4083,396,295
0052,7,-0.405534,-7.46321,7,466
0053,2,70.5045,157.467,411,341
0053,7,48.5011,-7.72284,8,433
0054,2,-94.7635,-186.332,420,356
0054,7,0.300652,-8.35822,5,423
0055,2,-201.547,-71.0043,419,247
0055,7,-0.299783,-7.64841,10,433
0056,2,-189.297,-313.999,440,284
0056,7,-138.453,-10.1422,11,461
0057,2,684.931,2771.52,448,358
0057,7,-125.962,-11.4622,10,459
0058,2,270.483,-298.314,417,299
0058,7,81.4049,-11.3596,12,428
0059,2,-468.558,-347.552,452,305
0059,7,86.3974,-12.626,12,454
0060,2,223.564,-5846.96,416,360
0060,7,115.091,-13.763,10,459
0061,2,432.233,-469.432,408,314
0061,7,-1.59179,-13.8287,14,439
0062,2,-155.505,-370.679,440,319
0062,7,1.45648,-12.2793,13,459
0063,2,-993.211,-1028.9,427,379
0063,7,-1.61272,-12.7576,16,496
0064,2,103.372,-773.625,418,351
0064,7,1.59843,-15.4835,12,503
0065,2,-105.01,-1581.61,444,374
0065,7,76.7661,-16.0594,13,506
0066,2,139.046,-390.246,426,378
0066,7,-65.8988,-16.8307,11,497
0067,2,-109.02,-652.307,434,370
0067,7,-1.69546,-17.9443,16,488
0068,2,338.483,-1334.76,434,363
0068,7,1.58767,-21.4869,13,498
0069,2,590.959,-524.663,428,385
0069,7,-1.61004,-27.8023,14,546
0070,2,-1003,-758.891,426,381
0070,7,1.46395,-45.1055,12,534
0071,2,334.827,13527.4,442,385
0071,7,-1.559,-91.1116,14,542
0072,2,-192.909,2069.24,443,387
0072,7,1.5423,-342.827,12,582
0073,2,253.032,-1540.03,422,389
0073,7,30.0217,1201.57,13,579
0074,2,450.786,12182.7,409,399
0074,7,-1.55124,379.087,14,625
0075,2,1012.47,3373.28,426,399
0075,7,1.45615,351.601,12,605
0076,2,-145.13,-20955,437,393
0076,7,-40.7271,471.229,10,627
0077,2,-0.155063,13716.9,13,390
