image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,10.8098,338,62
0002,2,10.3291,11.7614,305,70
0003,2,32.3865,13.2302,321,75
0004,2,13.3166,13.3085,319,64
0005,2,11.5447,22.3797,340,62
0006,2,12.4463,13.2534,345,68
0007,2,11.6265,11.9258,315,71
0008,2,15.9386,11.0579,307,79
0009,2,12.2729,11.8969,302,80
0010,2,12.9956,13.3412,278,73
0011,2,13.097,13.8168,300,67
0012,2,9.82124,10.6507,300,85
0013,2,9.37135,11.5315,314,90
0014,2,9.47393,10.9082,305,82
0015,2,7.30009,11.7036,286,81
0016,2,9.51171,11.669,288,88
0017,2,9.93677,7.74364,273,82
0018,2,11.4691,11.6071,295,77
0019,2,10.211,11.8076,346,101
0020,2,6.29794,11.5658,423,107
0021,2,5.35619,9.00771,389,98
0022,2,10.0488,10.8046,422,107
0023,2,10.647,9.14886,487,123
0024,2,6.30222,9.29918,432,115
0025,2,6.49659,8.98295,446,108
0026,2,7.46172,10.615,433,126
0027,2,9.8562,12.8765,491,118
0028,2,8.80637,12.2412,506,123
0029,2,6.87206,9.99768,441,112
0030,2,8.14908,11.4079,476,108
0031,2,11.1283,14.1395,522,129
0032,2,9.85032,12.8408,573,113
0033,2,8.26347,15.4089,544,115
0034,2,9.3317,10.0595,591,106
0035,2,7.25152,9.42185,582,107
0036,2,7.23081,8.00112,455,106
0037,2,7.51727,8.16154,476,116
0038,2,7.4383,9.65239,575,157
0039,2,6.71038,10.0145,603,169
0040,2,4.31073,8.38261,634,155
0041,2,7.54957,7.48534,579,151
0042,2,6.43063,7.5933,574,157
0043,2,8.01582,7.55296,438,157
0044,2,5.91904,7.77289,481,173
0045,2,5.72978,8.36783,564,162
0046,2,7.70064,10.2619,494,150
0047,2,6.85171,9.84025,500,162
0048,2,12.5901,13.936,529,145
0048,7,-0.1,-8.54377,5,242
0049,2,22.4918,14.4609,468,163
0049,7,0,-9.98465,2,254
0050,2,11.478,16.0005,391,164
0050,7,-0.1,-10.1375,9,228
0051,2,15.9364,19.2822,393,167
0051,7,0.297054,-7.34974,4,245
0052,2,19.3389,-inf,396,170
0052,7,-0.405534,-10.2502,7,253
0053,2,70.5045,-inf,411,209
0053,7,48.5011,-10.1899,8,272
0054,2,-94.7635,-inf,420,195
0054,7,0.300652,-11.1063,5,227
0055,2,-201.547,-inf,419,166
0055,7,-0.299783,-9.83508,10,234
0056,2,-189.297,-inf,440,183
0056,7,-138.453,-12.2803,11,260
0057,2,684.931,-inf,448,188
0057,7,-125.962,-14.6672,10,268
0058,2,270.483,-inf,417,172
0058,7,81.4049,-13.7626,12,242
0059,2,-468.558,-inf,452,171
0059,7,86.3974,-12.9934,12,259
0060,2,223.564,-inf,416,212
0060,7,115.091,-15.2974,10,277
0061,2,432.233,-inf,408,173
0061,7,-1.59179,-16.5231,14,269
0062,2,-155.505,-inf,440,172
0062,7,1.45648,-14.8828,13,266
0063,2,-993.211,-inf,427,209
0063,7,-1.61272,-13.8573,16,252
0064,2,103.372,-inf,418,208
0064,7,1.59843,-15.5996,12,266
0065,2,-105.01,-inf,444,215
0065,7,76.7661,-16.6821,13,278
0066,2,139.046,-inf,426,215
0066,7,-65.8988,-18.6245,11,271
0067,2,-109.02,-inf,434,213
0067,7,-1.69546,-18.8017,16,270
0068,2,338.483,-inf,434,205
0068,7,1.58767,-27.2034,13,297
0069,2,590.959,-inf,428,209
0069,7,-1.61004,-29.4984,14,305
0070,2,-1003,-inf,426,214
0070,7,1.46395,-inf,12,306
0071,2,334.827,-inf,442,208
0071,7,-1.559,-inf,14,314
0072,2,-192.909,-inf,443,207
0072,7,1.5423,-inf,12,328
0073,2,253.032,-inf,422,209
0073,7,30.0217,-inf,13,325
0074,2,450.786,-inf,409,215
0074,7,-1.55124,-inf,14,343
0075,2,1012.47,-inf,426,213
0075,7,1.45615,-inf,12,336
0076,2,-145.13,-inf,437,222
0076,7,-40.7271,-inf,10,352
0077,2,-0.155063,-inf,13,205
