image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.1352,338,42
0002,2,10.3291,12.3453,305,52
0003,2,32.3865,13.6189,321,57
0004,2,13.3166,12.8853,319,55
0005,2,11.5447,68.6242,340,40
0006,2,12.4463,13.4935,345,57
0007,2,11.6265,12.041,315,64
0008,2,15.9386,11.5105,307,60
0009,2,12.2729,12.0205,302,69
0010,2,12.9956,13.6097,278,62
0011,2,13.097,12.5094,300,47
0012,2,9.82124,12.1142,300,79
0013,2,9.37135,12.4129,314,76
0014,2,9.47393,12.0961,305,74
0015,2,7.30009,11.1574,286,68
0016,2,9.51171,12.305,288,70
0017,2,9.93677,10.5959,273,70
0018,2,11.4691,12.1527,295,68
0019,2,10.211,10.974,346,77
0020,2,6.29794,12.381,423,77
0021,2,5.35619,11.0841,389,79
0022,2,10.0488,12.2204,422,86
0023,2,10.647,10.891,487,97
0024,2,6.30222,8.31777,432,82
0025,2,6.49659,11.1921,446,87
0026,2,7.46172,11.328,433,100
0027,2,9.8562,11.6422,491,88
0028,2,8.80637,13.3261,506,103
0029,2,6.87206,10.6,441,100
0030,2,8.14908,12.9045,476,108
0031,2,11.1283,13.6519,522,109
0032,2,9.85032,12.3027,573,97
0033,2,8.26347,14.0766,544,102
0034,2,9.3317,11.6247,591,83
0035,2,7.25152,9.87118,582,90
0036,2,7.23081,8.20199,455,86
0037,2,7.51727,7.85178,476,92
0038,2,7.4383,8.57013,575,135
0039,2,6.71038,9.73764,603,131
0040,2,4.31073,9.94147,634,124
0041,2,7.54957,7.96498,579,133
0042,2,6.43063,7.3676,574,129
0043,2,8.01582,6.88704,438,131
0044,2,5.91904,8.04969,481,132
0045,2,5.72978,7.56774,564,122
0046,2,7.70064,9.32099,494,133
0047,2,6.85171,9.90251,500,125
0048,2,12.5901,12.9654,529,127
0048,7,-0.1,-9.85905,5,192
0049,2,22.4918,14.2295,468,124
0049,7,0,-8.35032,2,191
0050,2,11.478,16.3735,391,138
0050,7,-0.1,-9.53807,9,201
0051,2,15.9364,19.1777,393,140
0051,7,0.297054,-7.38308,4,209
0052,2,19.3389,-inf,396,148
0052,7,-0.405534,-11.8853,7,215
0053,2,70.5045,-inf,411,189
0053,7,48.5011,-9.96237,8,230
0054,2,-94.7635,-inf,420,186
0054,7,0.300652,-11.5287,5,208
0055,2,-201.547,-inf,419,139
0055,7,-0.299783,-8.81558,10,210
0056,2,-189.297,-inf,440,160
0056,7,-138.453,-12.5158,11,205
0057,2,684.931,-inf,448,183
0057,7,-125.962,-12.6348,10,237
0058,2,270.483,-inf,417,144
0058,7,81.4049,-13.1617,12,207
0059,2,-468.558,-inf,452,152
0059,7,86.3974,-12.5258,12,230
0060,2,223.564,-inf,416,194
0060,7,115.091,-14.2678,10,239
0061,2,432.233,-inf,408,159
0061,7,-1.59179,-14.4926,14,239
0062,2,-155.505,-inf,440,159
0062,7,1.45648,-14.0681,13,232
0063,2,-993.211,-inf,427,199
0063,7,-1.61272,-14.2501,16,244
0064,2,103.372,-inf,418,199
0064,7,1.59843,-14.8114,12,234
0065,2,-105.01,-inf,444,193
0065,7,76.7661,-15.8309,13,271
0066,2,139.046,-inf,426,198
0066,7,-65.8988,-16.9788,11,252
0067,2,-109.02,-inf,434,206
0067,7,-1.69546,-17.9238,16,252
0068,2,338.483,-inf,434,188
0068,7,1.58767,-25.0601,13,267
0069,2,590.959,-inf,428,205
0069,7,-1.61004,-30.0158,14,286
0070,2,-1003,-inf,426,201
0070,7,1.46395,-inf,12,278
0071,2,334.827,-inf,442,186
0071,7,-1.559,-inf,14,289
0072,2,-192.909,-inf,443,196
0072,7,1.5423,-inf,12,319
0073,2,253.032,-inf,422,198
0073,7,30.0217,-inf,13,331
0074,2,450.786,-inf,409,218
0074,7,-1.55124,-inf,14,349
0075,2,1012.47,-inf,426,214
0075,7,1.45615,-inf,12,333
0076,2,-145.13,-inf,437,208
0076,7,-40.7271,-inf,10,354
0077,2,-0.155063,-inf,13,207
