image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,8.44411,338,28
0002,2,10.3291,12.7571,305,41
0003,2,32.3865,11.0632,321,39
0004,2,13.3166,12.8651,319,39
0005,2,11.5447,10.5166,340,31
0006,2,12.4463,11.9483,345,39
0007,2,11.6265,11.9536,315,49
0008,2,15.9386,12.0638,307,41
0009,2,12.2729,12.0205,302,50
0010,2,12.9956,13.497,278,46
0011,2,13.097,12.4032,300,39
0012,2,9.82124,12.3725,300,55
0013,2,9.37135,12.7125,314,55
0014,2,9.47393,11.8881,305,41
0015,2,7.30009,10.1798,286,35
0016,2,9.51171,11.8399,288,48
0017,2,9.93677,11.3411,273,41
0018,2,11.4691,12.0819,295,37
0019,2,10.211,10.9093,346,62
0020,2,6.29794,12.2294,423,69
0021,2,5.35619,11.079,389,52
0022,2,10.0488,11.8684,422,62
0023,2,10.647,10.6601,487,74
0024,2,6.30222,7.91705,432,56
0025,2,6.49659,11.8559,446,56
0026,2,7.46172,12.1296,433,74
0027,2,9.8562,11.4836,491,67
0028,2,8.80637,13.0112,506,80
0029,2,6.87206,12.84,441,64
0030,2,8.14908,13.2121,476,65
0031,2,11.1283,14.9167,522,80
0032,2,9.85032,11.4777,573,65
0033,2,8.26347,17.7187,544,62
0034,2,9.3317,9.96432,591,44
0035,2,7.25152,10.5956,582,62
0036,2,7.23081,8.08487,455,63
0037,2,7.51727,8.01809,476,65
0038,2,7.4383,11.1631,575,98
0039,2,6.71038,8.17072,603,93
0040,2,4.31073,7.90625,634,86
0041,2,7.54957,7.42262,579,96
0042,2,6.43063,8.40446,574,93
0043,2,8.01582,6.72892,438,94
0044,2,5.91904,7.26494,481,86
0045,2,5.72978,7.20025,564,90
0046,2,7.70064,9.25759,494,97
0047,2,6.85171,10.6286,500,89
0048,2,12.5901,13.6335,529,89
0048,7,-0.1,-9.77276,5,126
0049,2,22.4918,15.5205,468,88
0049,7,0,-9.78925,2,142
0050,2,11.478,18.4779,391,101
0050,7,-0.1,-10.1168,9,135
0051,2,15.9364,20.3189,393,104
0051,7,0.297054,-7.09857,4,157
0052,2,19.3389,-inf,396,109
0052,7,-0.405534,-11.6455,7,148
0053,2,70.5045,-inf,411,169
0053,7,48.5011,-10.9893,8,153
0054,2,-94.7635,-inf,420,169
0054,7,0.300652,-13.1781,5,133
0055,2,-201.547,-inf,419,98
0055,7,-0.299783,-10.6393,10,126
0056,2,-189.297,-inf,440,130
0056,7,-138.453,-12.1438,11,139
0057,2,684.931,-inf,448,145
0057,7,-125.962,-17.248,10,171
0058,2,270.483,-inf,417,107
0058,7,81.4049,-17.6734,12,131
0059,2,-468.558,-inf,452,96
0059,7,86.3974,-13.6602,12,152
0060,2,223.564,-inf,416,163
0060,7,115.091,-21.1542,10,158
0061,2,432.233,-inf,408,133
0061,7,-1.59179,-17.6062,14,170
0062,2,-155.505,-inf,440,124
0062,7,1.45648,-14.8669,13,170
0063,2,-993.211,-inf,427,190
0063,7,-1.61272,-15.6503,16,176
0064,2,103.372,-inf,418,180
0064,7,1.59843,-17.3968,12,164
0065,2,-105.01,-inf,444,192
0065,7,76.7661,-20.5688,13,190
0066,2,139.046,-inf,426,190
0066,7,-65.8988,-18.206,11,176
0067,2,-109.02,-inf,434,193
0067,7,-1.69546,-17.9161,16,181
0068,2,338.483,-inf,434,168
0068,7,1.58767,-39.107,13,202
0069,2,590.959,-inf,428,202
0069,7,-1.61004,-78.0985,14,217
0070,2,-1003,-inf,426,186
0070,7,1.46395,-inf,12,211
0071,2,334.827,-inf,442,178
0071,7,-1.559,-inf,14,236
0072,2,-192.909,-inf,443,194
0072,7,1.5423,-inf,12,304
0073,2,253.032,-inf,422,197
0073,7,30.0217,-inf,13,284
0074,2,450.786,-inf,409,207
0074,7,-1.55124,-inf,14,317
0075,2,1012.47,-inf,426,206
0075,7,1.45615,-inf,12,306
0076,2,-145.13,-inf,437,208
0076,7,-40.7271,-inf,10,326
0077,2,-0.155063,-inf,13,189
