image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,10.5719,338,50
0002,2,10.3291,14.8908,305,60
0003,2,32.3865,14.0007,321,63
0004,2,13.3166,13.8953,319,57
0005,2,11.5447,17.6913,340,55
0006,2,12.4463,13.3881,345,65
0007,2,11.6265,11.8323,315,78
0008,2,15.9386,11.7153,307,69
0009,2,12.2729,11.4706,302,81
0010,2,12.9956,13.8064,278,74
0011,2,13.097,13.3065,300,61
0012,2,9.82124,13.3932,300,76
0013,2,9.37135,11.8855,314,78
0014,2,9.47393,11.5887,305,77
0015,2,7.30009,12.4209,286,71
0016,2,9.51171,12.1996,288,82
0017,2,9.93677,10.8571,273,63
0018,2,11.4691,11.3337,295,60
0019,2,10.211,10.9945,346,96
0020,2,6.29794,11.6077,423,96
0021,2,5.35619,10.5023,389,83
0022,2,10.0488,11.0293,422,96
0023,2,10.647,9.60423,487,100
0024,2,6.30222,9.65331,432,97
0025,2,6.49659,11.4873,446,95
0026,2,7.46172,11.0019,433,103
0027,2,9.8562,13.9,491,108
0028,2,8.80637,10.8889,506,120
0029,2,6.87206,10.0751,441,108
0030,2,8.14908,12.4657,476,105
0031,2,11.1283,13.9868,522,123
0032,2,9.85032,13.4699,573,109
0033,2,8.26347,14.2092,544,110
0034,2,9.3317,10.305,591,92
0035,2,7.25152,11.414,582,98
0036,2,7.23081,8.15294,455,97
0037,2,7.51727,7.89323,476,89
0038,2,7.4383,8.94285,575,131
0039,2,6.71038,8.78465,603,130
0040,2,4.31073,8.28672,634,141
0041,2,7.54957,8.65753,579,126
0042,2,6.43063,7.68818,574,146
0043,2,8.01582,7.42223,438,150
0044,2,5.91904,7.60997,481,145
0045,2,5.72978,8.17649,564,141
0046,2,7.70064,9.25102,494,136
0047,2,6.85171,10.6412,500,125
0048,2,12.5901,12.6126,529,138
0048,7,-0.1,-9.3219,5,192
0049,2,22.4918,14.0167,468,132
0049,7,0,-10.4125,2,197
0050,2,11.478,17.3184,391,137
0050,7,-0.1,-9.03194,9,202
0051,2,15.9364,18.2072,393,143
0051,7,0.297054,-8.50044,4,212
0052,2,19.3389,-inf,396,153
0052,7,-0.405534,-9.417,7,226
0053,2,70.5045,-inf,411,193
0053,7,48.5011,-11.4599,8,219
0054,2,-94.7635,-inf,420,187
0054,7,0.300652,-11.6598,5,189
0055,2,-201.547,-inf,419,150
0055,7,-0.299783,-11.0115,10,201
0056,2,-189.297,-inf,440,166
0056,7,-138.453,-14.2028,11,210
0057,2,684.931,-inf,448,182
0057,7,-125.962,-15.8259,10,230
0058,2,270.483,-inf,417,157
0058,7,81.4049,-14.0097,12,202
0059,2,-468.558,-inf,452,168
0059,7,86.3974,-14.5147,12,215
0060,2,223.564,-inf,416,205
0060,7,115.091,-16.2929,10,237
0061,2,432.233,-inf,408,171
0061,7,-1.59179,-16.4829,14,228
0062,2,-155.505,-inf,440,176
0062,7,1.45648,-16.7794,13,204
0063,2,-993.211,-inf,427,203
0063,7,-1.61272,-15.663,16,220
0064,2,103.372,-inf,418,202
0064,7,1.59843,-19.2187,12,229
0065,2,-105.01,-inf,444,207
0065,7,76.7661,-17.5827,13,247
0066,2,139.046,-inf,426,203
0066,7,-65.8988,-19.566,11,235
0067,2,-109.02,-inf,434,205
0067,7,-1.69546,-21.9884,16,232
0068,2,338.483,-inf,434,188
0068,7,1.58767,-28.8289,13,244
0069,2,590.959,-inf,428,209
0069,7,-1.61004,-49.3129,14,261
0070,2,-1003,-inf,426,206
0070,7,1.46395,-inf,12,260
0071,2,334.827,-inf,442,198
0071,7,-1.559,-inf,14,268
0072,2,-192.909,-inf,443,193
0072,7,1.5423,-inf,12,305
0073,2,253.032,-inf,422,211
0073,7,30.0217,-inf,13,302
0074,2,450.786,-inf,409,204
0074,7,-1.55124,-inf,14,297
0075,2,1012.47,-inf,426,211
0075,7,1.45615,-inf,12,303
0076,2,-145.13,-inf,437,218
0076,7,-40.7271,-inf,10,332
0077,2,-0.155063,-inf,13,204
