image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.1008,338,78
0002,2,10.3291,12.7823,305,97
0003,2,32.3865,14.7505,321,91
0004,2,13.3166,15.4897,319,98
0005,2,11.5447,30.6117,340,87
0006,2,12.4463,13.3691,345,95
0007,2,11.6265,12.1961,315,94
0008,2,15.9386,12.6027,307,92
0009,2,12.2729,12.9594,302,90
0010,2,12.9956,13.8374,278,104
0011,2,13.097,14.3636,300,82
0012,2,9.82124,11.6823,300,107
0013,2,9.37135,12.3008,314,111
0014,2,9.47393,11.6815,305,99
0015,2,7.30009,11.402,286,109
0016,2,9.51171,11.6989,288,103
0017,2,9.93677,7.58829,273,110
0018,2,11.4691,10.7706,295,105
0019,2,10.211,10.979,346,126
0020,2,6.29794,11.0437,423,136
0021,2,5.35619,10.6525,389,128
0022,2,10.0488,12.5743,422,134
0023,2,10.647,8.43406,487,141
0024,2,6.30222,9.78975,432,150
0025,2,6.49659,11.2516,446,140
0026,2,7.46172,10.2084,433,160
0027,2,9.8562,14.2521,491,164
0028,2,8.80637,12.1692,506,172
0029,2,6.87206,11.9867,441,150
0030,2,8.14908,13.0375,476,148
0031,2,11.1283,14.6396,522,167
0032,2,9.85032,13.9931,573,170
0033,2,8.26347,14.177,544,172
0034,2,9.3317,11.1312,591,155
0035,2,7.25152,11.133,582,142
0036,2,7.23081,8.85537,455,153
0037,2,7.51727,8.98361,476,147
0038,2,7.4383,11.8126,575,212
0039,2,6.71038,10.5632,603,221
0040,2,4.31073,9.55193,634,208
0041,2,7.54957,8.07545,579,207
0042,2,6.43063,7.94758,574,209
0043,2,8.01582,7.03493,438,223
0044,2,5.91904,8.71592,481,214
0045,2,5.72978,8.87744,564,212
0046,2,7.70064,10.4836,494,200
0047,2,6.85171,10.5727,500,212
0048,2,12.5901,13.0804,529,193
0048,7,-0.1,-10.3114,5,358
0049,2,22.4918,13.0324,468,212
0049,7,0,-10.9072,2,361
0050,2,11.478,17.5886,391,207
0050,7,-0.1,-11.1545,9,372
0051,2,15.9364,18.5529,393,208
0051,7,0.297054,-8.29542,4,354
0052,2,19.3389,-inf,396,208
0052,7,-0.405534,-9.10569,7,379
0053,2,70.5045,-inf,411,231
0053,7,48.5011,-8.81932,8,391
0054,2,-94.7635,-inf,420,222
0054,7,0.300652,-9.11791,5,357
0055,2,-201.547,-inf,419,205
0055,7,-0.299783,-8.34906,10,350
0056,2,-189.297,-inf,440,208
0056,7,-138.453,-10.5338,11,388
0057,2,684.931,-inf,448,220
0057,7,-125.962,-12.4607,10,390
0058,2,270.483,-inf,417,204
0058,7,81.4049,-11.9227,12,368
0059,2,-468.558,-inf,452,211
0059,7,86.3974,-12.731,12,390
0060,2,223.564,-inf,416,229
0060,7,115.091,-13.8162,10,389
0061,2,432.233,-inf,408,215
0061,7,-1.59179,-13.3753,14,378
0062,2,-155.505,-inf,440,212
0062,7,1.45648,-14.1283,13,371
0063,2,-993.211,-inf,427,217
0063,7,-1.61272,-12.9674,16,391
0064,2,103.372,-inf,418,223
0064,7,1.59843,-13.8844,12,382
0065,2,-105.01,-inf,444,225
0065,7,76.7661,-14.635,13,388
0066,2,139.046,-inf,426,227
0066,7,-65.8988,-16.4168,11,388
0067,2,-109.02,-inf,434,224
0067,7,-1.69546,-17.3808,16,372
0068,2,338.483,-inf,434,231
0068,7,1.58767,-21.3753,13,414
0069,2,590.959,-inf,428,222
0069,7,-1.61004,-28.6516,14,412
0070,2,-1003,-inf,426,228
0070,7,1.46395,-169.513,12,416
0071,2,334.827,-inf,442,219
0071,7,-1.559,-inf,14,412
0072,2,-192.909,-inf,443,216
0072,7,1.5423,-inf,12,417
0073,2,253.032,-inf,422,224
0073,7,30.0217,-inf,13,414
0074,2,450.786,-inf,409,226
0074,7,-1.55124,-inf,14,417
0075,2,1012.47,-inf,426,226
0075,7,1.45615,-inf,12,432
0076,2,-145.13,-inf,437,234
0076,7,-40.7271,-inf,10,429
0077,2,-0.155063,-inf,13,230
