image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,10.9082,338,9
0002,2,10.3291,10.586,305,6
0003,2,32.3865,-10.8522,321,7
0004,2,13.3166,12.1284,319,8
0005,2,11.5447,19.4967,340,16
0006,2,12.4463,15.2483,345,12
0007,2,11.6265,12.2792,315,16
0008,2,15.9386,17.6204,307,16
0009,2,12.2729,3.30058,302,10
0010,2,12.9956,20.5862,278,8
0011,2,13.097,11.7414,300,11
0012,2,9.82124,nan,300,11
0013,2,9.37135,568.322,314,13
0014,2,9.47393,5.6061,305,9
0015,2,7.30009,-13.6263,286,11
0016,2,9.51171,6.45749,288,17
0017,2,9.93677,12.5848,273,8
0018,2,11.4691,-inf,295,4
0019,2,10.211,11.1415,346,13
0020,2,6.29794,13.0617,423,15
0021,2,5.35619,11.3035,389,15
0022,2,10.0488,13.5362,422,13
0023,2,10.647,12.4201,487,12
0024,2,6.30222,5.64152,432,14
0025,2,6.49659,11.2876,446,17
0026,2,7.46172,11.4569,433,19
0027,2,9.8562,10.9112,491,30
0028,2,8.80637,19.415,506,25
0029,2,6.87206,15.001,441,24
0030,2,8.14908,11.1868,476,29
0031,2,11.1283,-441.31,522,24
0032,2,9.85032,-18.3409,573,14
0033,2,8.26347,18.971,544,14
0034,2,9.3317,11.5554,591,16
0035,2,7.25152,9.78806,582,14
0036,2,7.23081,12.4916,455,13
0037,2,7.51727,8.78766,476,21
0038,2,7.4383,16.1349,575,22
0039,2,6.71038,16.7351,603,23
0040,2,4.31073,7.22331,634,23
0041,2,7.54957,646.037,579,23
0042,2,6.43063,12.259,574,22
0043,2,8.01582,15.016,438,25
0044,2,5.91904,44.0315,481,27
0045,2,5.72978,11.2222,564,28
0046,2,7.70064,17.9838,494,27
0047,2,6.85171,109.347,500,30
0048,2,12.5901,87.8521,529,28
0048,7,-0.1,-14.3797,5,23
0049,2,22.4918,19.1535,468,29
0049,7,0,-17.4582,2,23
0050,2,11.478,-inf,391,27
0050,7,-0.1,-12.9595,9,20
0051,2,15.9364,-inf,393,29
0051,7,0.297054,-10.1306,4,35
0052,2,19.3389,-inf,396,29
0052,7,-0.405534,-11.1583,7,28
0053,2,70.5045,-inf,411,31
0053,7,48.5011,-21.7062,8,20
0054,2,-94.7635,-inf,420,29
0054,7,0.300652,-12.6196,5,16
0055,2,-201.547,-19.7412,419,25
0055,7,-0.299783,-18.254,10,18
0056,2,-189.297,-inf,440,23
0056,7,-138.453,-inf,11,13
0057,2,684.931,-inf,448,24
0057,7,-125.962,-15.9631,10,18
0058,2,270.483,-inf,417,26
0058,7,81.4049,-15.9963,12,25
0059,2,-468.558,-inf,452,23
0059,7,86.3974,-11.8654,12,20
0060,2,223.564,-inf,416,23
0060,7,115.091,-52.9585,10,19
0061,2,432.233,-281.137,408,28
0061,7,-1.59179,-15.8524,14,24
0062,2,-155.505,-inf,440,31
0062,7,1.45648,-13.695,13,28
0063,2,-993.211,-inf,427,30
0063,7,-1.61272,-272.731,16,23
0064,2,103.372,-inf,418,24
0064,7,1.59843,-inf,12,24
0065,2,-105.01,-inf,444,25
0065,7,76.7661,-inf,13,24
0066,2,139.046,-inf,426,26
0066,7,-65.8988,-61.7125,11,18
0067,2,-109.02,-inf,434,26
0067,7,-1.69546,-31.624,16,18
0068,2,338.483,-inf,434,28
0068,7,1.58767,-23.4838,13,24
0069,2,590.959,-inf,428,31
0069,7,-1.61004,-25.9338,14,23
0070,2,-1003,-inf,426,24
0070,7,1.46395,-inf,12,16
0071,2,334.827,-inf,442,22
0071,7,-1.559,-61.9652,14,16
0072,2,-192.909,-inf,443,23
0072,7,1.5423,-inf,12,19
0073,2,253.032,-inf,422,24
0073,7,30.0217,-inf,13,18
0074,2,450.786,-inf,409,25
0074,7,-1.55124,-inf,14,18
0075,2,1012.47,-inf,426,25
0075,7,1.45615,-inf,12,18
0076,2,-145.13,-inf,437,28
0076,7,-40.7271,-inf,10,24
0077,2,-0.155063,-inf,13,24
