image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,10.9082,338,6
0002,2,10.3291,10.586,305,6
0003,2,32.3865,26.2905,321,4
0004,2,13.3166,11.7693,319,7
0005,2,11.5447,-inf,340,11
0006,2,12.4463,12.9945,345,8
0007,2,11.6265,12.2792,315,14
0008,2,15.9386,12.9162,307,11
0009,2,12.2729,nan,302,7
0010,2,12.9956,-inf,278,4
0011,2,13.097,11.2142,300,7
0012,2,9.82124,11.6948,300,8
0013,2,9.37135,25.6953,314,9
0014,2,9.47393,5.6061,305,6
0015,2,7.30009,-13.6263,286,9
0016,2,9.51171,6.19345,288,14
0017,2,9.93677,12.5848,273,6
0018,2,11.4691,-inf,295,5
0019,2,10.211,11.2009,346,12
0020,2,6.29794,11.7538,423,13
0021,2,5.35619,11.3035,389,11
0022,2,10.0488,122.051,422,8
0023,2,10.647,12.4201,487,10
0024,2,6.30222,5.73917,432,12
0025,2,6.49659,14.4226,446,13
0026,2,7.46172,12.9428,433,13
0027,2,9.8562,11.4559,491,24
0028,2,8.80637,16.1056,506,20
0029,2,6.87206,15.9581,441,19
0030,2,8.14908,12.7104,476,26
0031,2,11.1283,-inf,522,21
0032,2,9.85032,-18.5476,573,13
0033,2,8.26347,13.3596,544,10
0034,2,9.3317,11.7698,591,13
0035,2,7.25152,8.26608,582,11
0036,2,7.23081,13.9065,455,9
0037,2,7.51727,8.01353,476,13
0038,2,7.4383,7.53659,575,17
0039,2,6.71038,12.4564,603,17
0040,2,4.31073,6.67312,634,19
0041,2,7.54957,9.21662,579,20
0042,2,6.43063,11.9468,574,21
0043,2,8.01582,11.7039,438,20
0044,2,5.91904,11.4989,481,20
0045,2,5.72978,10.6587,564,20
0046,2,7.70064,15.3815,494,23
0047,2,6.85171,-inf,500,20
0048,2,12.5901,13.7376,529,20
0048,7,-0.1,-33.5456,5,14
0049,2,22.4918,66.215,468,26
0049,7,0,-14.1856,2,17
0050,2,11.478,-inf,391,22
0050,7,-0.1,-18.0089,9,18
0051,2,15.9364,63.1528,393,29
0051,7,0.297054,-9.39016,4,24
0052,2,19.3389,-inf,396,28
0052,7,-0.405534,-13.8396,7,25
0053,2,70.5045,-inf,411,29
0053,7,48.5011,-22.3164,8,21
0054,2,-94.7635,-inf,420,28
0054,7,0.300652,-88.389,5,12
0055,2,-201.547,-23.8882,419,20
0055,7,-0.299783,-8.47992,10,17
0056,2,-189.297,-inf,440,18
0056,7,-138.453,-209.356,11,13
0057,2,684.931,-inf,448,22
0057,7,-125.962,-13.7469,10,14
0058,2,270.483,-inf,417,23
0058,7,81.4049,-18.2518,12,20
0059,2,-468.558,-inf,452,19
0059,7,86.3974,-22.807,12,18
0060,2,223.564,-inf,416,22
0060,7,115.091,-52.9585,10,16
0061,2,432.233,-281.137,408,28
0061,7,-1.59179,-17.1252,14,19
0062,2,-155.505,-inf,440,29
0062,7,1.45648,-15.57,13,25
0063,2,-993.211,-inf,427,30
0063,7,-1.61272,-1429.15,16,25
0064,2,103.372,-inf,418,19
0064,7,1.59843,-779.55,12,22
0065,2,-105.01,-inf,444,23
0065,7,76.7661,-inf,13,16
0066,2,139.046,-inf,426,26
0066,7,-65.8988,-50.167,11,17
0067,2,-109.02,-inf,434,26
0067,7,-1.69546,-61.8266,16,14
0068,2,338.483,-inf,434,30
0068,7,1.58767,-17.3701,13,23
0069,2,590.959,-inf,428,28
0069,7,-1.61004,-inf,14,21
0070,2,-1003,-inf,426,22
0070,7,1.46395,-inf,12,14
0071,2,334.827,-inf,442,20
0071,7,-1.559,-63.2914,14,15
0072,2,-192.909,-inf,443,23
0072,7,1.5423,-inf,12,19
0073,2,253.032,-inf,422,24
0073,7,30.0217,-inf,13,17
0074,2,450.786,-inf,409,24
0074,7,-1.55124,-inf,14,20
0075,2,1012.47,-inf,426,24
0075,7,1.45615,-inf,12,17
0076,2,-145.13,-inf,437,29
0076,7,-40.7271,-inf,10,26
0077,2,-0.155063,-inf,13,25
