image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,9.74953,338,6
0002,2,10.3291,10.586,305,7
0003,2,32.3865,nan,321,2
0004,2,13.3166,12.629,319,6
0005,2,11.5447,44.9166,340,10
0006,2,12.4463,14.1981,345,5
0007,2,11.6265,11.9596,315,10
0008,2,15.9386,12.3725,307,11
0009,2,12.2729,nan,302,6
0010,2,12.9956,10.2931,278,6
0011,2,13.097,11.8135,300,8
0012,2,9.82124,11.1055,300,7
0013,2,9.37135,nan,314,7
0014,2,9.47393,nan,305,5
0015,2,7.30009,-25.2781,286,6
0016,2,9.51171,6.71705,288,11
0017,2,9.93677,11.1009,273,5
0018,2,11.4691,-inf,295,4
0019,2,10.211,12.7069,346,9
0020,2,6.29794,11.7538,423,8
0021,2,5.35619,11.9228,389,8
0022,2,10.0488,-inf,422,6
0023,2,10.647,12.4201,487,8
0024,2,6.30222,7.89804,432,6
0025,2,6.49659,14.6109,446,11
0026,2,7.46172,11.1224,433,9
0027,2,9.8562,11.6187,491,21
0028,2,8.80637,14.4692,506,15
0029,2,6.87206,16.0126,441,16
0030,2,8.14908,45.5843,476,24
0031,2,11.1283,-inf,522,17
0032,2,9.85032,-18.8057,573,14
0033,2,8.26347,15.6446,544,14
0034,2,9.3317,12.7834,591,9
0035,2,7.25152,6.30752,582,7
0036,2,7.23081,13.9065,455,8
0037,2,7.51727,6.60707,476,12
0038,2,7.4383,12.7071,575,12
0039,2,6.71038,13.2506,603,14
0040,2,4.31073,6.24321,634,13
0041,2,7.54957,6.8365,579,17
0042,2,6.43063,27.2326,574,12
0043,2,8.01582,13.9955,438,19
0044,2,5.91904,12.7675,481,16
0045,2,5.72978,11.4287,564,18
0046,2,7.70064,13.3336,494,20
0047,2,6.85171,-inf,500,24
0048,2,12.5901,-inf,529,21
0048,7,-0.1,-13.675,5,14
0049,2,22.4918,-inf,468,24
0049,7,0,-62.5568,2,14
0050,2,11.478,59.7892,391,21
0050,7,-0.1,-17.1394,9,13
0051,2,15.9364,24.0758,393,25
0051,7,0.297054,-10.6872,4,24
0052,2,19.3389,-inf,396,25
0052,7,-0.405534,-12.566,7,21
0053,2,70.5045,-inf,411,25
0053,7,48.5011,-26.1275,8,15
0054,2,-94.7635,-inf,420,25
0054,7,0.300652,-55.122,5,9
0055,2,-201.547,-24.092,419,19
0055,7,-0.299783,-19.9641,10,9
0056,2,-189.297,-inf,440,18
0056,7,-138.453,-inf,11,10
0057,2,684.931,-inf,448,19
0057,7,-125.962,-7.83017,10,10
0058,2,270.483,-inf,417,19
0058,7,81.4049,-9.25435,12,10
0059,2,-468.558,-232.237,452,20
0059,7,86.3974,-14.0771,12,14
0060,2,223.564,-inf,416,19
0060,7,115.091,-74.0736,10,13
0061,2,432.233,-457.479,408,23
0061,7,-1.59179,-16.3505,14,13
0062,2,-155.505,-inf,440,26
0062,7,1.45648,-12.2646,13,18
0063,2,-993.211,-inf,427,29
0063,7,-1.61272,-inf,16,19
0064,2,103.372,-inf,418,20
0064,7,1.59843,-inf,12,15
0065,2,-105.01,-inf,444,22
0065,7,76.7661,-inf,13,15
0066,2,139.046,-inf,426,26
0066,7,-65.8988,-43.8495,11,15
0067,2,-109.02,-inf,434,26
0067,7,-1.69546,-113.988,16,13
0068,2,338.483,-inf,434,27
0068,7,1.58767,-60.4542,13,17
0069,2,590.959,-inf,428,28
0069,7,-1.61004,-inf,14,16
0070,2,-1003,-inf,426,20
0070,7,1.46395,-inf,12,13
0071,2,334.827,-inf,442,20
0071,7,-1.559,-41.5268,14,14
0072,2,-192.909,-inf,443,21
0072,7,1.5423,-inf,12,19
0073,2,253.032,-inf,422,24
0073,7,30.0217,-inf,13,17
0074,2,450.786,-inf,409,22
0074,7,-1.55124,-inf,14,16
0075,2,1012.47,-inf,426,24
0075,7,1.45615,-inf,12,16
0076,2,-145.13,-inf,437,28
0076,7,-40.7271,-inf,10,24
0077,2,-0.155063,-inf,13,24
