image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,10.9082,338,9
0002,2,10.3291,63.8475,305,10
0003,2,32.3865,-80.8525,321,12
0004,2,13.3166,11.5792,319,11
0005,2,11.5447,13.6432,340,20
0006,2,12.4463,27.8744,345,15
0007,2,11.6265,13.497,315,18
0008,2,15.9386,17.6204,307,16
0009,2,12.2729,3.93864,302,12
0010,2,12.9956,-13.4405,278,10
0011,2,13.097,11.7414,300,13
0012,2,9.82124,11.6948,300,12
0013,2,9.37135,568.322,314,12
0014,2,9.47393,5.66097,305,12
0015,2,7.30009,-13.6263,286,11
0016,2,9.51171,6.71705,288,19
0017,2,9.93677,12.5848,273,10
0018,2,11.4691,-inf,295,6
0019,2,10.211,11.1415,346,15
0020,2,6.29794,15.1605,423,17
0021,2,5.35619,11.5076,389,16
0022,2,10.0488,61.0256,422,18
0023,2,10.647,11.7306,487,13
0024,2,6.30222,5.62273,432,15
0025,2,6.49659,12.8498,446,20
0026,2,7.46172,11.4569,433,19
0027,2,9.8562,10.7245,491,32
0028,2,8.80637,14.5314,506,33
0029,2,6.87206,14.8711,441,28
0030,2,8.14908,10.7395,476,37
0031,2,11.1283,-inf,522,33
0032,2,9.85032,-16.4914,573,18
0033,2,8.26347,226.869,544,19
0034,2,9.3317,12.4539,591,23
0035,2,7.25152,9.78806,582,14
0036,2,7.23081,12.4916,455,14
0037,2,7.51727,7.12623,476,19
0038,2,7.4383,15.4196,575,24
0039,2,6.71038,16.7351,603,25
0040,2,4.31073,12.7755,634,27
0041,2,7.54957,10.1089,579,27
0042,2,6.43063,12.9975,574,26
0043,2,8.01582,15.016,438,26
0044,2,5.91904,20.771,481,30
0045,2,5.72978,12.5195,564,30
0046,2,7.70064,16.8548,494,28
0047,2,6.85171,109.347,500,30
0048,2,12.5901,33.6633,529,30
0048,7,-0.1,-21.304,5,29
0049,2,22.4918,19.1648,468,30
0049,7,0,-12.4263,2,25
0050,2,11.478,-inf,391,29
0050,7,-0.1,-12.6686,9,27
0051,2,15.9364,-inf,393,35
0051,7,0.297054,-12.0376,4,52
0052,2,19.3389,-inf,396,33
0052,7,-0.405534,-12.566,7,34
0053,2,70.5045,-inf,411,32
0053,7,48.5011,-24.4103,8,31
0054,2,-94.7635,-inf,420,31
0054,7,0.300652,-11.9845,5,27
0055,2,-201.547,-21.2117,419,27
0055,7,-0.299783,-14.5814,10,28
0056,2,-189.297,-inf,440,24
0056,7,-138.453,-11.7836,11,22
0057,2,684.931,-inf,448,26
0057,7,-125.962,-17.3012,10,22
0058,2,270.483,-inf,417,30
0058,7,81.4049,-16.6427,12,33
0059,2,-468.558,-inf,452,25
0059,7,86.3974,-17.7096,12,25
0060,2,223.564,-inf,416,26
0060,7,115.091,-74.0736,10,23
0061,2,432.233,-131.043,408,29
0061,7,-1.59179,-16.8177,14,29
0062,2,-155.505,-inf,440,31
0062,7,1.45648,-15.1349,13,32
0063,2,-993.211,-inf,427,30
0063,7,-1.61272,-170.193,16,27
0064,2,103.372,-inf,418,23
0064,7,1.59843,-inf,12,26
0065,2,-105.01,-inf,444,25
0065,7,76.7661,-inf,13,25
0066,2,139.046,-inf,426,28
0066,7,-65.8988,-38.4654,11,22
0067,2,-109.02,-inf,434,27
0067,7,-1.69546,-27.9514,16,20
0068,2,338.483,-inf,434,31
0068,7,1.58767,-19.7762,13,31
0069,2,590.959,-inf,428,30
0069,7,-1.61004,-19.6245,14,26
0070,2,-1003,-inf,426,25
0070,7,1.46395,-inf,12,19
0071,2,334.827,-inf,442,22
0071,7,-1.559,-61.9652,14,16
0072,2,-192.909,-inf,443,23
0072,7,1.5423,-inf,12,19
0073,2,253.032,-inf,422,24
0073,7,30.0217,-inf,13,18
0074,2,450.786,-inf,409,25
0074,7,-1.55124,-inf,14,22
0075,2,1012.47,-inf,426,25
0075,7,1.45615,-inf,12,20
0076,2,-145.13,-inf,437,28
0076,7,-40.7271,-inf,10,28
0077,2,-0.155063,-inf,13,24
