image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,13.0822,338,21
0002,2,10.3291,13.3982,305,27
0003,2,32.3865,28.2302,321,34
0004,2,13.3166,22.1695,319,24
0005,2,11.5447,46.4846,340,25
0006,2,12.4463,9.19978,345,23
0007,2,11.6265,10.3581,315,40
0008,2,15.9386,-inf,307,35
0009,2,12.2729,140.565,302,30
0010,2,12.9956,9.43013,278,25
0011,2,13.097,19.4803,300,19
0012,2,9.82124,13.9637,300,27
0013,2,9.37135,15.9498,314,25
0014,2,9.47393,13.145,305,40
0015,2,7.30009,13.1413,286,23
0016,2,9.51171,10.6994,288,22
0017,2,9.93677,16.7035,273,23
0018,2,11.4691,14.4987,295,21
0019,2,10.211,12.4385,346,24
0020,2,6.29794,7.87759,423,40
0021,2,5.35619,8.44408,389,28
0022,2,10.0488,30.1539,422,42
0023,2,10.647,12.8098,487,48
0024,2,6.30222,11.1017,432,43
0025,2,6.49659,30.621,446,47
0026,2,7.46172,14.2702,433,36
0027,2,9.8562,-inf,491,40
0028,2,8.80637,52.5076,506,50
0029,2,6.87206,40.7292,441,42
0030,2,8.14908,25.3186,476,37
0031,2,11.1283,48.3507,522,37
0032,2,9.85032,38.1944,573,48
0033,2,8.26347,16.9098,544,41
0034,2,9.3317,10.7348,591,36
0035,2,7.25152,8.2538,582,34
0036,2,7.23081,9.22891,455,37
0037,2,7.51727,6.08666,476,22
0038,2,7.4383,10.3594,575,44
0039,2,6.71038,20.0578,603,51
0040,2,4.31073,25.9058,634,64
0041,2,7.54957,34.3953,579,60
0042,2,6.43063,9.8554,574,58
0043,2,8.01582,8.69457,438,52
0044,2,5.91904,-inf,481,65
0045,2,5.72978,12.2197,564,64
0046,2,7.70064,91.04,494,70
0047,2,6.85171,-inf,500,73
0048,2,12.5901,-inf,529,66
0048,7,-0.1,-199.661,5,39
0049,2,22.4918,52.5906,468,61
0049,7,0,-183.948,2,28
0050,2,11.478,110.58,391,59
0050,7,-0.1,-34.0612,9,30
0051,2,15.9364,-inf,393,85
0051,7,0.297054,-52.8441,4,54
0052,2,19.3389,-inf,396,79
0052,7,-0.405534,-23.2687,7,30
0053,2,70.5045,-inf,411,72
0053,7,48.5011,-54.3524,8,35
0054,2,-94.7635,-inf,420,65
0054,7,0.300652,-905.041,5,27
0055,2,-201.547,-50.7679,419,72
0055,7,-0.299783,-22.2623,10,31
0056,2,-189.297,-37.4579,440,66
0056,7,-138.453,-20.7407,11,31
0057,2,684.931,-inf,448,71
0057,7,-125.962,-77.3793,10,39
0058,2,270.483,-inf,417,70
0058,7,81.4049,-339.412,12,26
0059,2,-468.558,-inf,452,62
0059,7,86.3974,-25.2598,12,30
0060,2,223.564,-inf,416,83
0060,7,115.091,-inf,10,42
0061,2,432.233,-inf,408,76
0061,7,-1.59179,-inf,14,45
0062,2,-155.505,-inf,440,75
0062,7,1.45648,-26.0634,13,51
0063,2,-993.211,-inf,427,89
0063,7,-1.61272,-inf,16,39
0064,2,103.372,-inf,418,85
0064,7,1.59843,-inf,12,35
0065,2,-105.01,-inf,444,84
0065,7,76.7661,-inf,13,44
0066,2,139.046,-inf,426,80
0066,7,-65.8988,-inf,11,44
0067,2,-109.02,-inf,434,89
0067,7,-1.69546,-inf,16,39
0068,2,338.483,-inf,434,74
0068,7,1.58767,-inf,13,38
0069,2,590.959,-inf,428,81
0069,7,-1.61004,-inf,14,40
0070,2,-1003,-inf,426,87
0070,7,1.46395,-inf,12,41
0071,2,334.827,-inf,442,80
0071,7,-1.559,-inf,14,36
0072,2,-192.909,-inf,443,77
0072,7,1.5423,-inf,12,35
0073,2,253.032,-inf,422,83
0073,7,30.0217,-inf,13,41
0074,2,450.786,-inf,409,82
0074,7,-1.55124,-inf,14,48
0075,2,1012.47,-inf,426,83
0075,7,1.45615,-inf,12,43
0076,2,-145.13,-inf,437,89
0076,7,-40.7271,-inf,10,47
0077,2,-0.155063,-inf,13,97
