image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,19.4668,338,38
0002,2,10.3291,16.5514,305,40
0003,2,32.3865,12.0855,321,47
0004,2,13.3166,20.001,319,48
0005,2,11.5447,179.166,340,42
0006,2,12.4463,11.1609,345,44
0007,2,11.6265,13.0845,315,49
0008,2,15.9386,9.45873,307,47
0009,2,12.2729,13.3112,302,37
0010,2,12.9956,14.7536,278,42
0011,2,13.097,7.71005,300,34
0012,2,9.82124,-inf,300,44
0013,2,9.37135,11.6895,314,41
0014,2,9.47393,9.48525,305,42
0015,2,7.30009,8.72363,286,41
0016,2,9.51171,11.4315,288,46
0017,2,9.93677,17.2956,273,42
0018,2,11.4691,27.7089,295,43
0019,2,10.211,5.58948,346,43
0020,2,6.29794,8.81016,423,51
0021,2,5.35619,10.1056,389,48
0022,2,10.0488,9.42114,422,63
0023,2,10.647,12.3038,487,60
0024,2,6.30222,10.0435,432,59
0025,2,6.49659,14.6863,446,68
0026,2,7.46172,57.3149,433,75
0027,2,9.8562,-inf,491,71
0028,2,8.80637,-inf,506,88
0029,2,6.87206,-inf,441,73
0030,2,8.14908,14.0667,476,69
0031,2,11.1283,-inf,522,72
0032,2,9.85032,25.5639,573,72
0033,2,8.26347,132.929,544,68
0034,2,9.3317,20.7188,591,50
0035,2,7.25152,8.2325,582,51
0036,2,7.23081,9.90647,455,53
0037,2,7.51727,6.22898,476,35
0038,2,7.4383,12.5505,575,76
0039,2,6.71038,-inf,603,89
0040,2,4.31073,-inf,634,97
0041,2,7.54957,23.0981,579,88
0042,2,6.43063,47.929,574,85
0043,2,8.01582,77.9844,438,77
0044,2,5.91904,-inf,481,85
0045,2,5.72978,66.8412,564,82
0046,2,7.70064,-inf,494,84
0047,2,6.85171,-inf,500,95
0048,2,12.5901,-inf,529,96
0048,7,-0.1,-42.5891,5,47
0049,2,22.4918,-inf,468,90
0049,7,0,-16.9833,2,43
0050,2,11.478,-inf,391,88
0050,7,-0.1,-inf,9,39
0051,2,15.9364,-inf,393,95
0051,7,0.297054,-15.038,4,37
0052,2,19.3389,-inf,396,101
0052,7,-0.405534,-inf,7,51
0053,2,70.5045,-inf,411,103
0053,7,48.5011,-6.17929,8,48
0054,2,-94.7635,-inf,420,101
0054,7,0.300652,-inf,5,44
0055,2,-201.547,-40.3899,419,81
0055,7,-0.299783,-15.2142,10,40
0056,2,-189.297,-inf,440,86
0056,7,-138.453,-10.6787,11,45
0057,2,684.931,-inf,448,95
0057,7,-125.962,17.1243,10,45
0058,2,270.483,-inf,417,98
0058,7,81.4049,-542839,12,50
0059,2,-468.558,-inf,452,92
0059,7,86.3974,-inf,12,55
0060,2,223.564,-inf,416,99
0060,7,115.091,-64.4087,10,50
0061,2,432.233,-inf,408,93
0061,7,-1.59179,-18.1199,14,49
0062,2,-155.505,-inf,440,99
0062,7,1.45648,-inf,13,55
0063,2,-993.211,-inf,427,103
0063,7,-1.61272,-inf,16,49
0064,2,103.372,-inf,418,95
0064,7,1.59843,-inf,12,50
0065,2,-105.01,-inf,444,104
0065,7,76.7661,-inf,13,51
0066,2,139.046,-inf,426,101
0066,7,-65.8988,-inf,11,53
0067,2,-109.02,-inf,434,100
0067,7,-1.69546,-inf,16,48
0068,2,338.483,-inf,434,98
0068,7,1.58767,-inf,13,53
0069,2,590.959,-inf,428,101
0069,7,-1.61004,-inf,14,45
0070,2,-1003,-inf,426,100
0070,7,1.46395,-inf,12,45
0071,2,334.827,-inf,442,101
0071,7,-1.559,-inf,14,46
0072,2,-192.909,-inf,443,99
0072,7,1.5423,-inf,12,46
0073,2,253.032,-inf,422,100
0073,7,30.0217,-inf,13,48
0074,2,450.786,-inf,409,104
0074,7,-1.55124,-inf,14,50
0075,2,1012.47,-inf,426,100
0075,7,1.45615,-inf,12,47
0076,2,-145.13,-inf,437,114
0076,7,-40.7271,-inf,10,54
0077,2,-0.155063,-inf,13,115
