image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.0569,338,16
0002,2,10.3291,12.2395,305,23
0003,2,32.3865,10.6146,321,24
0004,2,13.3166,10.781,319,26
0005,2,11.5447,-inf,340,17
0006,2,12.4463,11.5816,345,28
0007,2,11.6265,-inf,315,26
0008,2,15.9386,8.95665,307,24
0009,2,12.2729,15.1132,302,24
0010,2,12.9956,-inf,278,17
0011,2,13.097,5.96008,300,21
0012,2,9.82124,14.9136,300,19
0013,2,9.37135,6.3262,314,28
0014,2,9.47393,38.4661,305,29
0015,2,7.30009,8.68208,286,23
0016,2,9.51171,6.34289,288,29
0017,2,9.93677,11.3219,273,29
0018,2,11.4691,4.71741,295,20
0019,2,10.211,-inf,346,23
0020,2,6.29794,9.96502,423,29
0021,2,5.35619,-inf,389,25
0022,2,10.0488,12.2453,422,28
0023,2,10.647,8.86347,487,29
0024,2,6.30222,13.3081,432,28
0025,2,6.49659,-13.99,446,35
0026,2,7.46172,-inf,433,33
0027,2,9.8562,-21.4956,491,31
0028,2,8.80637,-15.2513,506,34
0029,2,6.87206,-12.4892,441,38
0030,2,8.14908,-inf,476,35
0031,2,11.1283,-inf,522,37
0032,2,9.85032,-inf,573,32
0033,2,8.26347,-5761.76,544,34
0034,2,9.3317,13.2527,591,20
0035,2,7.25152,11.6915,582,22
0036,2,7.23081,7.14711,455,23
0037,2,7.51727,8.48811,476,14
0038,2,7.4383,39.1534,575,38
0039,2,6.71038,35.8326,603,42
0040,2,4.31073,-inf,634,37
0041,2,7.54957,-291.584,579,41
0042,2,6.43063,-630.815,574,38
0043,2,8.01582,-136.817,438,38
0044,2,5.91904,-inf,481,45
0045,2,5.72978,13.4122,564,41
0046,2,7.70064,-15.7141,494,43
0047,2,6.85171,-167.644,500,53
0048,2,12.5901,-57.2341,529,52
0048,7,-0.1,-4.16306,5,17
0049,2,22.4918,-17.4529,468,54
0049,7,0,23.3372,2,16
0050,2,11.478,-inf,391,48
0050,7,-0.1,nan,9,15
0051,2,15.9364,-147.344,393,52
0051,7,0.297054,-4.24665,4,18
0052,2,19.3389,-17.7668,396,47
0052,7,-0.405534,42.9727,7,15
0053,2,70.5045,-inf,411,47
0053,7,48.5011,-4.51719,8,16
0054,2,-94.7635,-inf,420,54
0054,7,0.300652,-255.264,5,14
0055,2,-201.547,-33.0648,419,42
0055,7,-0.299783,-11.716,10,13
0056,2,-189.297,3592.45,440,46
0056,7,-138.453,-8.96241,11,15
0057,2,684.931,-inf,448,44
0057,7,-125.962,-78.9373,10,11
0058,2,270.483,-inf,417,45
0058,7,81.4049,-inf,12,15
0059,2,-468.558,-inf,452,52
0059,7,86.3974,-inf,12,18
0060,2,223.564,-inf,416,52
0060,7,115.091,-25.075,10,14
0061,2,432.233,-inf,408,43
0061,7,-1.59179,-11.6181,14,14
0062,2,-155.505,-inf,440,47
0062,7,1.45648,-inf,13,18
0063,2,-993.211,-inf,427,53
0063,7,-1.61272,-inf,16,20
0064,2,103.372,-inf,418,51
0064,7,1.59843,-inf,12,18
0065,2,-105.01,-inf,444,51
0065,7,76.7661,475.45,13,17
0066,2,139.046,-inf,426,52
0066,7,-65.8988,-inf,11,20
0067,2,-109.02,-inf,434,52
0067,7,-1.69546,-inf,16,16
0068,2,338.483,-inf,434,43
0068,7,1.58767,-inf,13,16
0069,2,590.959,-inf,428,54
0069,7,-1.61004,nan,14,17
0070,2,-1003,-inf,426,51
0070,7,1.46395,nan,12,18
0071,2,334.827,-inf,442,52
0071,7,-1.559,nan,14,18
0072,2,-192.909,-inf,443,49
0072,7,1.5423,nan,12,15
0073,2,253.032,-inf,422,53
0073,7,30.0217,-inf,13,16
0074,2,450.786,-inf,409,48
0074,7,-1.55124,-inf,14,16
0075,2,1012.47,-inf,426,50
0075,7,1.45615,nan,12,17
0076,2,-145.13,-inf,437,53
0076,7,-40.7271,-inf,10,18
0077,2,-0.155063,-inf,13,54
