image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,15.8832,338,26
0002,2,10.3291,11.3699,305,29
0003,2,32.3865,18.5335,321,34
0004,2,13.3166,35.326,319,25
0005,2,11.5447,28.7796,340,28
0006,2,12.4463,-inf,345,36
0007,2,11.6265,19.9077,315,39
0008,2,15.9386,10.8688,307,27
0009,2,12.2729,-inf,302,34
0010,2,12.9956,-inf,278,29
0011,2,13.097,9.15809,300,24
0012,2,9.82124,-inf,300,31
0013,2,9.37135,9.91242,314,37
0014,2,9.47393,9.56052,305,38
0015,2,7.30009,30.6161,286,34
0016,2,9.51171,15.8113,288,34
0017,2,9.93677,8.84033,273,32
0018,2,11.4691,20.8795,295,25
0019,2,10.211,7.662,346,29
0020,2,6.29794,25.7184,423,35
0021,2,5.35619,21.3094,389,35
0022,2,10.0488,8.52581,422,45
0023,2,10.647,10.7322,487,36
0024,2,6.30222,11.9973,432,38
0025,2,6.49659,30.3913,446,51
0026,2,7.46172,-inf,433,47
0027,2,9.8562,-inf,491,42
0028,2,8.80637,-inf,506,52
0029,2,6.87206,126.335,441,43
0030,2,8.14908,23.3962,476,39
0031,2,11.1283,17.008,522,46
0032,2,9.85032,28.5075,573,34
0033,2,8.26347,-inf,544,36
0034,2,9.3317,14.4598,591,36
0035,2,7.25152,12.0295,582,32
0036,2,7.23081,9.36892,455,36
0037,2,7.51727,8.17115,476,29
0038,2,7.4383,10.4934,575,45
0039,2,6.71038,15.9311,603,58
0040,2,4.31073,20.9366,634,70
0041,2,7.54957,12.7313,579,58
0042,2,6.43063,8.76936,574,55
0043,2,8.01582,14.1956,438,48
0044,2,5.91904,14.8994,481,60
0045,2,5.72978,14.7073,564,63
0046,2,7.70064,-inf,494,64
0047,2,6.85171,-inf,500,72
0048,2,12.5901,-inf,529,85
0048,7,-0.1,-16.4189,5,37
0049,2,22.4918,-inf,468,79
0049,7,0,-21.2367,2,33
0050,2,11.478,-inf,391,84
0050,7,-0.1,-16443.5,9,29
0051,2,15.9364,-inf,393,90
0051,7,0.297054,-13.9643,4,36
0052,2,19.3389,-inf,396,91
0052,7,-0.405534,-773.03,7,42
0053,2,70.5045,-inf,411,96
0053,7,48.5011,-23.4943,8,42
0054,2,-94.7635,-inf,420,98
0054,7,0.300652,-9.23103e+06,5,45
0055,2,-201.547,-23.5264,419,73
0055,7,-0.299783,-55.3859,10,40
0056,2,-189.297,-inf,440,55
0056,7,-138.453,-14.1218,11,37
0057,2,684.931,-inf,448,71
0057,7,-125.962,-inf,10,40
0058,2,270.483,-inf,417,77
0058,7,81.4049,-inf,12,42
0059,2,-468.558,-inf,452,75
0059,7,86.3974,-inf,12,52
0060,2,223.564,-inf,416,86
0060,7,115.091,-inf,10,45
0061,2,432.233,-inf,408,81
0061,7,-1.59179,-inf,14,40
0062,2,-155.505,-inf,440,89
0062,7,1.45648,-inf,13,54
0063,2,-993.211,-inf,427,103
0063,7,-1.61272,-inf,16,54
0064,2,103.372,-inf,418,95
0064,7,1.59843,-inf,12,49
0065,2,-105.01,-inf,444,98
0065,7,76.7661,-inf,13,46
0066,2,139.046,-inf,426,96
0066,7,-65.8988,-inf,11,54
0067,2,-109.02,-inf,434,96
0067,7,-1.69546,-inf,16,55
0068,2,338.483,-inf,434,96
0068,7,1.58767,-inf,13,57
0069,2,590.959,-inf,428,103
0069,7,-1.61004,-inf,14,56
0070,2,-1003,-inf,426,99
0070,7,1.46395,-inf,12,55
0071,2,334.827,-inf,442,94
0071,7,-1.559,-inf,14,61
0072,2,-192.909,-inf,443,108
0072,7,1.5423,-inf,12,61
0073,2,253.032,-inf,422,104
0073,7,30.0217,-inf,13,67
0074,2,450.786,-inf,409,109
0074,7,-1.55124,-inf,14,70
0075,2,1012.47,-inf,426,108
0075,7,1.45615,-inf,12,68
0076,2,-145.13,-inf,437,117
0076,7,-40.7271,-inf,10,74
0077,2,-0.155063,-inf,13,116
