image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,14.8587,338,41
0002,2,10.3291,11.2451,305,44
0003,2,32.3865,12.3578,321,50
0004,2,13.3166,53.5842,319,50
0005,2,11.5447,-inf,340,47
0006,2,12.4463,24.7222,345,57
0007,2,11.6265,-inf,315,58
0008,2,15.9386,10.4477,307,60
0009,2,12.2729,13.8513,302,47
0010,2,12.9956,15.5532,278,40
0011,2,13.097,9.2983,300,42
0012,2,9.82124,-inf,300,50
0013,2,9.37135,7.94456,314,47
0014,2,9.47393,13.7643,305,57
0015,2,7.30009,12.849,286,45
0016,2,9.51171,8.6586,288,54
0017,2,9.93677,15.7683,273,46
0018,2,11.4691,9.45581,295,52
0019,2,10.211,8.32875,346,50
0020,2,6.29794,8.88876,423,63
0021,2,5.35619,7.84989,389,58
0022,2,10.0488,9.22746,422,71
0023,2,10.647,9.30525,487,62
0024,2,6.30222,10.6045,432,69
0025,2,6.49659,10.4287,446,78
0026,2,7.46172,223.935,433,81
0027,2,9.8562,75.9566,491,87
0028,2,8.80637,-inf,506,96
0029,2,6.87206,-50.185,441,79
0030,2,8.14908,35.1434,476,74
0031,2,11.1283,24.6306,522,68
0032,2,9.85032,-inf,573,63
0033,2,8.26347,-inf,544,60
0034,2,9.3317,19.6044,591,49
0035,2,7.25152,9.40042,582,51
0036,2,7.23081,10.1477,455,50
0037,2,7.51727,6.7407,476,45
0038,2,7.4383,11.0616,575,79
0039,2,6.71038,29.9244,603,92
0040,2,4.31073,23.7084,634,100
0041,2,7.54957,32.4925,579,105
0042,2,6.43063,10.6636,574,106
0043,2,8.01582,27.8163,438,99
0044,2,5.91904,26.1546,481,98
0045,2,5.72978,12.3762,564,101
0046,2,7.70064,76.2213,494,96
0047,2,6.85171,-inf,500,113
0048,2,12.5901,-inf,529,110
0048,7,-0.1,-7.2519,5,69
0049,2,22.4918,-inf,468,100
0049,7,0,-14.5945,2,58
0050,2,11.478,-inf,391,106
0050,7,-0.1,-48.9358,9,62
0051,2,15.9364,-inf,393,109
0051,7,0.297054,-8.90319,4,69
0052,2,19.3389,-inf,396,117
0052,7,-0.405534,-15647.8,7,69
0053,2,70.5045,-inf,411,119
0053,7,48.5011,-11.1337,8,64
0054,2,-94.7635,-inf,420,115
0054,7,0.300652,-inf,5,59
0055,2,-201.547,-54.359,419,97
0055,7,-0.299783,-376.13,10,54
0056,2,-189.297,-inf,440,108
0056,7,-138.453,-13.7999,11,61
0057,2,684.931,-inf,448,109
0057,7,-125.962,-inf,10,59
0058,2,270.483,-inf,417,108
0058,7,81.4049,-inf,12,64
0059,2,-468.558,-inf,452,111
0059,7,86.3974,-inf,12,67
0060,2,223.564,-inf,416,109
0060,7,115.091,-inf,10,64
0061,2,432.233,-inf,408,104
0061,7,-1.59179,-1.49984e+06,14,61
0062,2,-155.505,-inf,440,111
0062,7,1.45648,-inf,13,68
0063,2,-993.211,-inf,427,116
0063,7,-1.61272,-inf,16,67
0064,2,103.372,-inf,418,106
0064,7,1.59843,-inf,12,65
0065,2,-105.01,-inf,444,113
0065,7,76.7661,-inf,13,63
0066,2,139.046,-inf,426,113
0066,7,-65.8988,-inf,11,66
0067,2,-109.02,-inf,434,114
0067,7,-1.69546,-inf,16,62
0068,2,338.483,-inf,434,114
0068,7,1.58767,-inf,13,69
0069,2,590.959,-inf,428,114
0069,7,-1.61004,-inf,14,62
0070,2,-1003,-inf,426,112
0070,7,1.46395,-inf,12,64
0071,2,334.827,-inf,442,115
0071,7,-1.559,-inf,14,63
0072,2,-192.909,-inf,443,110
0072,7,1.5423,-inf,12,60
0073,2,253.032,-inf,422,109
0073,7,30.0217,-inf,13,67
0074,2,450.786,-inf,409,112
0074,7,-1.55124,-inf,14,68
0075,2,1012.47,-inf,426,113
0075,7,1.45615,-inf,12,65
0076,2,-145.13,-inf,437,122
0076,7,-40.7271,-inf,10,71
0077,2,-0.155063,-inf,13,126
