image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,14.2952,338,57
0002,2,10.3291,14.4554,305,67
0003,2,32.3865,10.1673,321,71
0004,2,13.3166,11.5009,319,66
0005,2,11.5447,12.3552,340,67
0006,2,12.4463,13.6508,345,73
0007,2,11.6265,13.4924,315,78
0008,2,15.9386,12.5881,307,80
0009,2,12.2729,11.7069,302,66
0010,2,12.9956,13.4042,278,75
0011,2,13.097,11.4293,300,63
0012,2,9.82124,11.2543,300,78
0013,2,9.37135,12.4032,314,73
0014,2,9.47393,12.1816,305,77
0015,2,7.30009,12.3011,286,78
0016,2,9.51171,12.1502,288,68
0017,2,9.93677,10.7327,273,63
0018,2,11.4691,8.38114,295,74
0019,2,10.211,12.6222,346,80
0020,2,6.29794,10.9552,423,84
0021,2,5.35619,8.45643,389,81
0022,2,10.0488,10.7137,422,96
0023,2,10.647,9.76711,487,89
0024,2,6.30222,10.4602,432,103
0025,2,6.49659,8.5024,446,96
0026,2,7.46172,9.94925,433,99
0027,2,9.8562,9.45658,491,100
0028,2,8.80637,11.1726,506,98
0029,2,6.87206,11.5658,441,100
0030,2,8.14908,12.7104,476,92
0031,2,11.1283,11.7444,522,101
0032,2,9.85032,13.6208,573,105
0033,2,8.26347,10.6546,544,99
0034,2,9.3317,10.9806,591,89
0035,2,7.25152,9.60415,582,89
0036,2,7.23081,9.98227,455,90
0037,2,7.51727,8.14463,476,90
0038,2,7.4383,9.11418,575,126
0039,2,6.71038,8.92153,603,136
0040,2,4.31073,7.65157,634,122
0041,2,7.54957,8.83766,579,134
0042,2,6.43063,6.69591,574,128
0043,2,8.01582,7.79932,438,120
0044,2,5.91904,7.74384,481,135
0045,2,5.72978,8.48202,564,133
0046,2,7.70064,8.49462,494,131
0047,2,6.85171,10.7897,500,129
0048,2,12.5901,11.5921,529,121
0048,7,-0.1,-6.39051,5,219
0049,2,22.4918,12.338,468,133
0049,7,0,-5.82439,2,232
0050,2,11.478,17.5744,391,136
0050,7,-0.1,-5.41817,9,243
0051,2,15.9364,17.9098,393,139
0051,7,0.297054,-5.15959,4,236
0052,2,19.3389,-inf,396,126
0052,7,-0.405534,-5.17502,7,236
0053,2,70.5045,-inf,411,150
0053,7,48.5011,-5.1226,8,237
0054,2,-94.7635,-inf,420,160
0054,7,0.300652,-4.97696,5,232
0055,2,-201.547,-inf,419,124
0055,7,-0.299783,-5.78619,10,251
0056,2,-189.297,-inf,440,144
0056,7,-138.453,-7.52037,11,268
0057,2,684.931,-inf,448,145
0057,7,-125.962,-9.01533,10,293
0058,2,270.483,-inf,417,127
0058,7,81.4049,-9.19688,12,278
0059,2,-468.558,-inf,452,132
0059,7,86.3974,-9.71802,12,292
0060,2,223.564,-inf,416,151
0060,7,115.091,-10.6508,10,292
0061,2,432.233,-inf,408,139
0061,7,-1.59179,-10.8119,14,286
0062,2,-155.505,-inf,440,139
0062,7,1.45648,-11.0746,13,309
0063,2,-993.211,-inf,427,164
0063,7,-1.61272,-10.8095,16,323
0064,2,103.372,-inf,418,160
0064,7,1.59843,-11.8579,12,322
0065,2,-105.01,-inf,444,173
0065,7,76.7661,-11.6701,13,317
0066,2,139.046,-inf,426,162
0066,7,-65.8988,-13.176,11,304
0067,2,-109.02,-inf,434,163
0067,7,-1.69546,-15.0353,16,308
0068,2,338.483,-inf,434,160
0068,7,1.58767,-17.9715,13,325
0069,2,590.959,-inf,428,165
0069,7,-1.61004,-23.5462,14,323
0070,2,-1003,-inf,426,164
0070,7,1.46395,-32.7355,12,335
0071,2,334.827,-inf,442,167
0071,7,-1.559,-inf,14,352
0072,2,-192.909,-inf,443,166
0072,7,1.5423,-inf,12,362
0073,2,253.032,-inf,422,167
0073,7,30.0217,-inf,13,365
0074,2,450.786,-inf,409,166
0074,7,-1.55124,-inf,14,359
0075,2,1012.47,-inf,426,170
0075,7,1.45615,-inf,12,356
0076,2,-145.13,-inf,437,174
0076,7,-40.7271,-inf,10,351
0077,2,-0.155063,-inf,13,170
