image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.8228,338,50
0002,2,10.3291,12.6968,305,50
0003,2,32.3865,14.4793,321,42
0004,2,13.3166,12.7779,319,53
0005,2,11.5447,12.4657,340,50
0006,2,12.4463,14.0207,345,48
0007,2,11.6265,12.7924,315,58
0008,2,15.9386,13.2285,307,48
0009,2,12.2729,11.7376,302,53
0010,2,12.9956,12.0439,278,53
0011,2,13.097,10.9042,300,51
0012,2,9.82124,11.8481,300,63
0013,2,9.37135,13.0323,314,55
0014,2,9.47393,11.8438,305,58
0015,2,7.30009,9.94433,286,55
0016,2,9.51171,10.6857,288,48
0017,2,9.93677,11.3134,273,54
0018,2,11.4691,10.6426,295,55
0019,2,10.211,12.0013,346,68
0020,2,6.29794,8.91278,423,60
0021,2,5.35619,9.02667,389,53
0022,2,10.0488,10.5379,422,77
0023,2,10.647,9.84177,487,65
0024,2,6.30222,9.34611,432,76
0025,2,6.49659,8.8655,446,79
0026,2,7.46172,9.03533,433,73
0027,2,9.8562,9.96543,491,71
0028,2,8.80637,11.9311,506,75
0029,2,6.87206,11.6429,441,82
0030,2,8.14908,11.5066,476,76
0031,2,11.1283,10.9146,522,82
0032,2,9.85032,15.4181,573,87
0033,2,8.26347,11.6857,544,80
0034,2,9.3317,10.6019,591,76
0035,2,7.25152,9.69018,582,75
0036,2,7.23081,9.08765,455,69
0037,2,7.51727,7.83036,476,71
0038,2,7.4383,8.0455,575,103
0039,2,6.71038,10.0501,603,102
0040,2,4.31073,8.38655,634,88
0041,2,7.54957,7.51928,579,93
0042,2,6.43063,7.01404,574,97
0043,2,8.01582,7.30768,438,94
0044,2,5.91904,7.30313,481,97
0045,2,5.72978,7.88581,564,101
0046,2,7.70064,7.82508,494,101
0047,2,6.85171,10.5918,500,103
0048,2,12.5901,11.3442,529,87
0048,7,-0.1,-6.54448,5,170
0049,2,22.4918,11.6836,468,102
0049,7,0,-4.94779,2,156
0050,2,11.478,17.9508,391,105
0050,7,-0.1,-5.195,9,168
0051,2,15.9364,18.1355,393,106
0051,7,0.297054,-5.09558,4,195
0052,2,19.3389,80.1117,396,119
0052,7,-0.405534,-5.01868,7,188
0053,2,70.5045,-inf,411,144
0053,7,48.5011,-4.76027,8,194
0054,2,-94.7635,-inf,420,145
0054,7,0.300652,-5.06799,5,185
0055,2,-201.547,-inf,419,99
0055,7,-0.299783,-5.65081,10,199
0056,2,-189.297,-inf,440,115
0056,7,-138.453,-7.32015,11,217
0057,2,684.931,-inf,448,125
0057,7,-125.962,-8.89454,10,245
0058,2,270.483,-inf,417,119
0058,7,81.4049,-9.31864,12,229
0059,2,-468.558,-inf,452,113
0059,7,86.3974,-9.82827,12,228
0060,2,223.564,-inf,416,141
0060,7,115.091,-10.4527,10,235
0061,2,432.233,-inf,408,125
0061,7,-1.59179,-10.7495,14,241
0062,2,-155.505,-inf,440,129
0062,7,1.45648,-10.7492,13,260
0063,2,-993.211,-inf,427,159
0063,7,-1.61272,-11.0228,16,272
0064,2,103.372,-inf,418,150
0064,7,1.59843,-11.8176,12,286
0065,2,-105.01,-inf,444,162
0065,7,76.7661,-12.0571,13,299
0066,2,139.046,-inf,426,150
0066,7,-65.8988,-13.0815,11,276
0067,2,-109.02,-inf,434,155
0067,7,-1.69546,-15.0139,16,278
0068,2,338.483,-inf,434,152
0068,7,1.58767,-17.891,13,292
0069,2,590.959,-inf,428,154
0069,7,-1.61004,-21.4964,14,282
0070,2,-1003,-inf,426,152
0070,7,1.46395,-36.4907,12,297
0071,2,334.827,-inf,442,156
0071,7,-1.559,-inf,14,309
0072,2,-192.909,-inf,443,163
0072,7,1.5423,-inf,12,357
0073,2,253.032,-inf,422,155
0073,7,30.0217,-inf,13,358
0074,2,450.786,-inf,409,159
0074,7,-1.55124,-inf,14,341
0075,2,1012.47,-inf,426,161
0075,7,1.45615,-inf,12,349
0076,2,-145.13,-inf,437,171
0076,7,-40.7271,-inf,10,356
0077,2,-0.155063,-inf,13,148
