image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,13.0861,338,40
0002,2,10.3291,12.5676,305,40
0003,2,32.3865,13.9572,321,34
0004,2,13.3166,11.6234,319,43
0005,2,11.5447,12.3735,340,45
0006,2,12.4463,13.5639,345,39
0007,2,11.6265,12.5185,315,47
0008,2,15.9386,11.4352,307,53
0009,2,12.2729,11.9559,302,44
0010,2,12.9956,12.902,278,47
0011,2,13.097,11.1899,300,42
0012,2,9.82124,12.9405,300,40
0013,2,9.37135,12.5287,314,44
0014,2,9.47393,11.9191,305,50
0015,2,7.30009,11.1548,286,45
0016,2,9.51171,8.38985,288,38
0017,2,9.93677,11.8304,273,41
0018,2,11.4691,7.06356,295,40
0019,2,10.211,10.6894,346,54
0020,2,6.29794,10.5584,423,51
0021,2,5.35619,10.4321,389,41
0022,2,10.0488,10.793,422,68
0023,2,10.647,10.8922,487,57
0024,2,6.30222,10.2336,432,58
0025,2,6.49659,10.5282,446,55
0026,2,7.46172,8.38261,433,45
0027,2,9.8562,10.2344,491,52
0028,2,8.80637,13.9742,506,63
0029,2,6.87206,12.8465,441,53
0030,2,8.14908,11.7101,476,60
0031,2,11.1283,11.6137,522,72
0032,2,9.85032,15.3704,573,76
0033,2,8.26347,9.85089,544,57
0034,2,9.3317,8.81884,591,47
0035,2,7.25152,11.1055,582,57
0036,2,7.23081,8.46441,455,52
0037,2,7.51727,7.39752,476,54
0038,2,7.4383,7.82632,575,74
0039,2,6.71038,8.55778,603,80
0040,2,4.31073,7.69074,634,75
0041,2,7.54957,7.56769,579,70
0042,2,6.43063,6.81287,574,69
0043,2,8.01582,7.88122,438,74
0044,2,5.91904,7.62634,481,88
0045,2,5.72978,7.41707,564,81
0046,2,7.70064,8.17116,494,90
0047,2,6.85171,11.5869,500,74
0048,2,12.5901,11.9445,529,70
0048,7,-0.1,-5.54108,5,126
0049,2,22.4918,12.1884,468,84
0049,7,0,-7.51261,2,127
0050,2,11.478,18.1187,391,87
0050,7,-0.1,-5.63073,9,131
0051,2,15.9364,19.0869,393,78
0051,7,0.297054,-5.05468,4,123
0052,2,19.3389,277.947,396,90
0052,7,-0.405534,-6.02566,7,120
0053,2,70.5045,-inf,411,133
0053,7,48.5011,-5.12003,8,135
0054,2,-94.7635,-inf,420,126
0054,7,0.300652,-5.08834,5,121
0055,2,-201.547,-inf,419,76
0055,7,-0.299783,-5.69696,10,149
0056,2,-189.297,-inf,440,107
0056,7,-138.453,-7.18783,11,147
0057,2,684.931,-inf,448,109
0057,7,-125.962,-8.7429,10,181
0058,2,270.483,-inf,417,86
0058,7,81.4049,-9.42221,12,170
0059,2,-468.558,-inf,452,82
0059,7,86.3974,-9.74589,12,165
0060,2,223.564,-inf,416,135
0060,7,115.091,-10.8211,10,177
0061,2,432.233,-inf,408,118
0061,7,-1.59179,-10.9751,14,176
0062,2,-155.505,-inf,440,121
0062,7,1.45648,-10.6792,13,177
0063,2,-993.211,-inf,427,159
0063,7,-1.61272,-11.6062,16,208
0064,2,103.372,-inf,418,139
0064,7,1.59843,-12.0343,12,207
0065,2,-105.01,-inf,444,155
0065,7,76.7661,-12.3666,13,214
0066,2,139.046,-inf,426,146
0066,7,-65.8988,-13.0991,11,208
0067,2,-109.02,-inf,434,142
0067,7,-1.69546,-14.757,16,207
0068,2,338.483,-inf,434,136
0068,7,1.58767,-18.2118,13,194
0069,2,590.959,-inf,428,155
0069,7,-1.61004,-22.5549,14,203
0070,2,-1003,-inf,426,144
0070,7,1.46395,-37.4021,12,232
0071,2,334.827,-inf,442,144
0071,7,-1.559,-inf,14,244
0072,2,-192.909,-inf,443,152
0072,7,1.5423,-inf,12,298
0073,2,253.032,-inf,422,157
0073,7,30.0217,-inf,13,279
0074,2,450.786,-inf,409,159
0074,7,-1.55124,-inf,14,296
0075,2,1012.47,-inf,426,159
0075,7,1.45615,-inf,12,273
0076,2,-145.13,-inf,437,161
0076,7,-40.7271,-inf,10,300
0077,2,-0.155063,-inf,13,151
