image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,14.7283,338,76
0002,2,10.3291,13.2902,305,85
0003,2,32.3865,11.5914,321,87
0004,2,13.3166,12.9162,319,85
0005,2,11.5447,12.3305,340,86
0006,2,12.4463,13.2533,345,85
0007,2,11.6265,13.3235,315,93
0008,2,15.9386,12.7102,307,95
0009,2,12.2729,11.9899,302,87
0010,2,12.9956,13.3599,278,88
0011,2,13.097,12.0821,300,81
0012,2,9.82124,11.6524,300,94
0013,2,9.37135,11.6194,314,96
0014,2,9.47393,11.3592,305,90
0015,2,7.30009,12.1048,286,89
0016,2,9.51171,11.5578,288,88
0017,2,9.93677,11.1811,273,90
0018,2,11.4691,9.90905,295,95
0019,2,10.211,12.1041,346,98
0020,2,6.29794,10.823,423,103
0021,2,5.35619,9.81142,389,100
0022,2,10.0488,10.9298,422,118
0023,2,10.647,8.70378,487,115
0024,2,6.30222,10.5995,432,131
0025,2,6.49659,10.0729,446,123
0026,2,7.46172,10.871,433,124
0027,2,9.8562,9.94033,491,124
0028,2,8.80637,10.9649,506,135
0029,2,6.87206,12.889,441,118
0030,2,8.14908,13.2376,476,108
0031,2,11.1283,10.9617,522,131
0032,2,9.85032,14.0996,573,136
0033,2,8.26347,10.9886,544,129
0034,2,9.3317,11.2667,591,120
0035,2,7.25152,9.34691,582,120
0036,2,7.23081,10.6212,455,116
0037,2,7.51727,8.2688,476,113
0038,2,7.4383,11.3722,575,178
0039,2,6.71038,10.7846,603,175
0040,2,4.31073,8.67661,634,164
0041,2,7.54957,8.71959,579,161
0042,2,6.43063,7.0389,574,166
0043,2,8.01582,8.1945,438,165
0044,2,5.91904,8.16045,481,167
0045,2,5.72978,8.61441,564,162
0046,2,7.70064,9.60999,494,171
0047,2,6.85171,11.1556,500,170
0048,2,12.5901,11.8034,529,156
0048,7,-0.1,-5.6101,5,354
0049,2,22.4918,11.1164,468,162
0049,7,0,-5.27373,2,336
0050,2,11.478,16.7743,391,160
0050,7,-0.1,-5.26028,9,358
0051,2,15.9364,18.3513,393,166
0051,7,0.297054,-5.22793,4,349
0052,2,19.3389,58.509,396,162
0052,7,-0.405534,-5.24965,7,368
0053,2,70.5045,-inf,411,167
0053,7,48.5011,-5.04165,8,360
0054,2,-94.7635,-inf,420,173
0054,7,0.300652,-5.09225,5,366
0055,2,-201.547,-inf,419,154
0055,7,-0.299783,-5.70429,10,378
0056,2,-189.297,-inf,440,165
0056,7,-138.453,-7.22185,11,410
0057,2,684.931,-inf,448,160
0057,7,-125.962,-8.79622,10,414
0058,2,270.483,-inf,417,157
0058,7,81.4049,-9.01536,12,428
0059,2,-468.558,-inf,452,164
0059,7,86.3974,-9.82046,12,426
0060,2,223.564,-inf,416,175
0060,7,115.091,-10.7016,10,424
0061,2,432.233,-inf,408,165
0061,7,-1.59179,-10.8925,14,432
0062,2,-155.505,-inf,440,176
0062,7,1.45648,-10.8629,13,437
0063,2,-993.211,-inf,427,177
0063,7,-1.61272,-10.832,16,454
0064,2,103.372,-inf,418,171
0064,7,1.59843,-11.759,12,448
0065,2,-105.01,-inf,444,185
0065,7,76.7661,-11.8003,13,437
0066,2,139.046,-inf,426,180
0066,7,-65.8988,-12.9751,11,434
0067,2,-109.02,-inf,434,183
0067,7,-1.69546,-14.8912,16,431
0068,2,338.483,-inf,434,178
0068,7,1.58767,-17.9462,13,480
0069,2,590.959,-inf,428,180
0069,7,-1.61004,-24.4731,14,453
0070,2,-1003,-inf,426,173
0070,7,1.46395,-35.898,12,452
0071,2,334.827,-inf,442,177
0071,7,-1.559,-8080.35,14,462
0072,2,-192.909,-inf,443,176
0072,7,1.5423,-inf,12,474
0073,2,253.032,-inf,422,172
0073,7,30.0217,-inf,13,475
0074,2,450.786,-inf,409,178
0074,7,-1.55124,-inf,14,477
0075,2,1012.47,-inf,426,179
0075,7,1.45615,-inf,12,471
0076,2,-145.13,-inf,437,181
0076,7,-40.7271,-inf,10,472
0077,2,-0.155063,-inf,13,180
