image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,11.9111,338,59
0002,2,10.3291,15.0758,305,63
0003,2,32.3865,15.3261,321,68
0004,2,13.3166,22.2997,319,69
0005,2,11.5447,15.0725,340,61
0006,2,12.4463,12.1949,345,73
0007,2,11.6265,15.0932,315,79
0008,2,15.9386,15.8058,307,77
0009,2,12.2729,12.1096,302,82
0010,2,12.9956,11.3219,278,58
0011,2,13.097,11.9296,300,60
0012,2,9.82124,11.433,300,65
0013,2,9.37135,9.27531,314,66
0014,2,9.47393,10.6941,305,65
0015,2,7.30009,9.28974,286,61
0016,2,9.51171,8.74041,288,66
0017,2,9.93677,9.34471,273,50
0018,2,11.4691,9.42847,295,50
0019,2,10.211,8.50609,346,70
0020,2,6.29794,8.14131,423,58
0021,2,5.35619,9.87002,389,56
0022,2,10.0488,8.55431,422,82
0023,2,10.647,12.3373,487,73
0024,2,6.30222,8.12913,432,71
0025,2,6.49659,9.17664,446,61
0026,2,7.46172,9.45001,433,85
0027,2,9.8562,8.92919,491,78
0028,2,8.80637,9.33658,506,77
0029,2,6.87206,10.9957,441,74
0030,2,8.14908,10.7864,476,80
0031,2,11.1283,10.8631,522,98
0032,2,9.85032,14.1995,573,91
0033,2,8.26347,10.1765,544,73
0034,2,9.3317,10.7127,591,73
0035,2,7.25152,8.76291,582,71
0036,2,7.23081,8.01704,455,90
0037,2,7.51727,7.92439,476,76
0038,2,7.4383,7.70491,575,115
0039,2,6.71038,8.38338,603,114
0040,2,4.31073,7.18766,634,109
0041,2,7.54957,7.05149,579,93
0042,2,6.43063,6.33073,574,94
0043,2,8.01582,6.91193,438,89
0044,2,5.91904,7.38824,481,92
0045,2,5.72978,7.8887,564,96
0046,2,7.70064,8.49338,494,113
0047,2,6.85171,9.10981,500,109
0048,2,12.5901,11.2018,529,103
0048,7,-0.1,-7.7412,5,204
0049,2,22.4918,11.8875,468,118
0049,7,0,-6.34918,2,205
0050,2,11.478,15.9295,391,134
0050,7,-0.1,-5.48646,9,213
0051,2,15.9364,18.0628,393,102
0051,7,0.297054,-6.57016,4,186
0052,2,19.3389,33.6681,396,111
0052,7,-0.405534,-6.55768,7,196
0053,2,70.5045,83.623,411,135
0053,7,48.5011,-6.54779,8,187
0054,2,-94.7635,-102.741,420,147
0054,7,0.300652,-5.64904,5,211
0055,2,-201.547,-82.2443,419,119
0055,7,-0.299783,-6.20468,10,218
0056,2,-189.297,174.181,440,124
0056,7,-138.453,-7.63464,11,241
0057,2,684.931,1362.88,448,107
0057,7,-125.962,-8.84917,10,212
0058,2,270.483,-293.186,417,124
0058,7,81.4049,-9.88622,12,218
0059,2,-468.558,-404.2,452,119
0059,7,86.3974,-9.67768,12,221
0060,2,223.564,-728.401,416,135
0060,7,115.091,-10.9267,10,229
0061,2,432.233,-336.175,408,133
0061,7,-1.59179,-11.8798,14,230
0062,2,-155.505,689.24,440,121
0062,7,1.45648,-10.8813,13,214
0063,2,-993.211,-417.759,427,133
0063,7,-1.61272,-10.8451,16,231
0064,2,103.372,-396.901,418,114
0064,7,1.59843,-11.3879,12,221
0065,2,-105.01,-440.402,444,128
0065,7,76.7661,-11.7192,13,245
0066,2,139.046,-298.116,426,120
0066,7,-65.8988,-12.475,11,241
0067,2,-109.02,-394.6,434,133
0067,7,-1.69546,-14.9265,16,252
0068,2,338.483,1347.48,434,121
0068,7,1.58767,-18.1855,13,263
0069,2,590.959,-518.521,428,136
0069,7,-1.61004,-23.3607,14,285
0070,2,-1003,-370.26,426,132
0070,7,1.46395,-34.333,12,273
0071,2,334.827,-1608.75,442,142
0071,7,-1.559,-65.478,14,274
0072,2,-192.909,564.165,443,144
0072,7,1.5423,-169.958,12,275
0073,2,253.032,-1818.13,422,134
0073,7,30.0217,1262.85,13,293
0074,2,450.786,2459.2,409,126
0074,7,-1.55124,338.458,14,290
0075,2,1012.47,-6195.36,426,131
0075,7,1.45615,205.711,12,285
0076,2,-145.13,2147.13,437,143
0076,7,-40.7271,328.023,10,285
0077,2,-0.155063,-834.6,13,151
