image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,11.7937,338,55
0002,2,10.3291,13.696,305,58
0003,2,32.3865,14.32,321,76
0004,2,13.3166,20.5542,319,66
0005,2,11.5447,15.734,340,54
0006,2,12.4463,10.7762,345,66
0007,2,11.6265,15.7134,315,74
0008,2,15.9386,15.1504,307,75
0009,2,12.2729,13.647,302,73
0010,2,12.9956,11.9965,278,61
0011,2,13.097,12.9654,300,56
0012,2,9.82124,10.3343,300,58
0013,2,9.37135,10.0189,314,61
0014,2,9.47393,9.15168,305,68
0015,2,7.30009,9.42509,286,58
0016,2,9.51171,9.2807,288,66
0017,2,9.93677,9.49963,273,54
0018,2,11.4691,9.36821,295,52
0019,2,10.211,8.49323,346,68
0020,2,6.29794,8.63195,423,62
0021,2,5.35619,9.144,389,66
0022,2,10.0488,8.14225,422,80
0023,2,10.647,9.12495,487,69
0024,2,6.30222,8.34386,432,86
0025,2,6.49659,9.15502,446,62
0026,2,7.46172,10.3893,433,85
0027,2,9.8562,9.67343,491,83
0028,2,8.80637,9.77805,506,80
0029,2,6.87206,10.4863,441,75
0030,2,8.14908,10.7603,476,87
0031,2,11.1283,10.5306,522,101
0032,2,9.85032,12.5773,573,90
0033,2,8.26347,10.9589,544,80
0034,2,9.3317,8.90045,591,86
0035,2,7.25152,8.76396,582,83
0036,2,7.23081,7.84502,455,98
0037,2,7.51727,8.16365,476,77
0038,2,7.4383,7.26181,575,112
0039,2,6.71038,7.81872,603,108
0040,2,4.31073,7.17996,634,114
0041,2,7.54957,7.39041,579,96
0042,2,6.43063,6.08953,574,90
0043,2,8.01582,6.52832,438,97
0044,2,5.91904,7.78581,481,104
0045,2,5.72978,7.72511,564,106
0046,2,7.70064,7.85349,494,104
0047,2,6.85171,8.86347,500,103
0048,2,12.5901,10.2207,529,101
0048,7,-0.1,-7.93513,5,192
0049,2,22.4918,11.3121,468,126
0049,7,0,-5.80052,2,205
0050,2,11.478,15.1465,391,138
0050,7,-0.1,-5.27025,9,208
0051,2,15.9364,18.074,393,113
0051,7,0.297054,-5.58632,4,188
0052,2,19.3389,32.6056,396,107
0052,7,-0.405534,-6.79064,7,199
0053,2,70.5045,77.3371,411,132
0053,7,48.5011,-5.94193,8,179
0054,2,-94.7635,-93.4395,420,140
0054,7,0.300652,-5.15921,5,216
0055,2,-201.547,-95.6918,419,133
0055,7,-0.299783,-5.78566,10,214
0056,2,-189.297,227.332,440,128
0056,7,-138.453,-7.53977,11,246
0057,2,684.931,1941.44,448,110
0057,7,-125.962,-8.53942,10,221
0058,2,270.483,-247.303,417,137
0058,7,81.4049,-9.7351,12,224
0059,2,-468.558,-262.249,452,119
0059,7,86.3974,-9.8405,12,232
0060,2,223.564,-623.817,416,138
0060,7,115.091,-10.7513,10,238
0061,2,432.233,-343.983,408,134
0061,7,-1.59179,-11.4768,14,248
0062,2,-155.505,1927.49,440,119
0062,7,1.45648,-10.3643,13,230
0063,2,-993.211,-313.36,427,126
0063,7,-1.61272,-10.7657,16,260
0064,2,103.372,-547.247,418,116
0064,7,1.59843,-11.2571,12,250
0065,2,-105.01,-541.804,444,121
0065,7,76.7661,-11.7524,13,258
0066,2,139.046,-278.897,426,121
0066,7,-65.8988,-12.7333,11,259
0067,2,-109.02,-361.51,434,126
0067,7,-1.69546,-14.44,16,273
0068,2,338.483,1594.77,434,118
0068,7,1.58767,-17.5526,13,286
0069,2,590.959,-502.103,428,135
0069,7,-1.61004,-23.5453,14,304
0070,2,-1003,-411.646,426,133
0070,7,1.46395,-34.2011,12,300
0071,2,334.827,-3313.62,442,140
0071,7,-1.559,-67.1715,14,290
0072,2,-192.909,737.816,443,139
0072,7,1.5423,-192.742,12,301
0073,2,253.032,-1213.8,422,133
0073,7,30.0217,1447.79,13,307
0074,2,450.786,2824.92,409,130
0074,7,-1.55124,307.614,14,313
0075,2,1012.47,12232.8,426,128
0075,7,1.45615,193.856,12,306
0076,2,-145.13,1454.88,437,139
0076,7,-40.7271,301.292,10,304
0077,2,-0.155063,-951.172,13,144
