image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,12.404,338,45
0002,2,10.3291,12.9029,305,45
0003,2,32.3865,14.5081,321,56
0004,2,13.3166,18.4778,319,53
0005,2,11.5447,15.734,340,42
0006,2,12.4463,12.3582,345,49
0007,2,11.6265,15.0878,315,54
0008,2,15.9386,15.5756,307,54
0009,2,12.2729,14.9934,302,54
0010,2,12.9956,11.5169,278,54
0011,2,13.097,14.3756,300,35
0012,2,9.82124,10.6798,300,43
0013,2,9.37135,9.2886,314,38
0014,2,9.47393,10.8718,305,38
0015,2,7.30009,9.43476,286,46
0016,2,9.51171,8.6388,288,50
0017,2,9.93677,9.36457,273,41
0018,2,11.4691,9.54427,295,42
0019,2,10.211,9.60018,346,49
0020,2,6.29794,8.95712,423,45
0021,2,5.35619,8.33579,389,37
0022,2,10.0488,8.92093,422,63
0023,2,10.647,10.913,487,53
0024,2,6.30222,8.33625,432,56
0025,2,6.49659,9.99286,446,47
0026,2,7.46172,9.46302,433,62
0027,2,9.8562,9.43656,491,59
0028,2,8.80637,9.77837,506,57
0029,2,6.87206,11.2537,441,59
0030,2,8.14908,10.774,476,68
0031,2,11.1283,10.8313,522,79
0032,2,9.85032,12.6023,573,67
0033,2,8.26347,10.1968,544,65
0034,2,9.3317,9.94202,591,55
0035,2,7.25152,8.32175,582,59
0036,2,7.23081,7.59853,455,73
0037,2,7.51727,7.85,476,58
0038,2,7.4383,7.05972,575,83
0039,2,6.71038,7.60334,603,76
0040,2,4.31073,7.41058,634,73
0041,2,7.54957,6.95976,579,63
0042,2,6.43063,6.04821,574,70
0043,2,8.01582,7.01996,438,76
0044,2,5.91904,8.38943,481,85
0045,2,5.72978,7.89778,564,83
0046,2,7.70064,8.39002,494,88
0047,2,6.85171,9.19076,500,76
0048,2,12.5901,11.3533,529,72
0048,7,-0.1,-8.38666,5,136
0049,2,22.4918,12.4931,468,80
0049,7,0,-7.58561,2,126
0050,2,11.478,15.2669,391,103
0050,7,-0.1,-7.41236,9,135
0051,2,15.9364,19.2097,393,85
0051,7,0.297054,-9.22999,4,136
0052,2,19.3389,35.0457,396,84
0052,7,-0.405534,-6.31464,7,138
0053,2,70.5045,69.4813,411,103
0053,7,48.5011,-8.55207,8,123
0054,2,-94.7635,-120.981,420,110
0054,7,0.300652,-5.6468,5,129
0055,2,-201.547,-79.1913,419,88
0055,7,-0.299783,-5.8476,10,140
0056,2,-189.297,218.064,440,93
0056,7,-138.453,-7.94291,11,157
0057,2,684.931,1611.86,448,87
0057,7,-125.962,-9.23931,10,136
0058,2,270.483,-260.869,417,105
0058,7,81.4049,-10.033,12,158
0059,2,-468.558,-397.063,452,87
0059,7,86.3974,-9.5837,12,147
0060,2,223.564,-317.255,416,120
0060,7,115.091,-11.0643,10,182
0061,2,432.233,-662.934,408,110
0061,7,-1.59179,-11.4377,14,182
0062,2,-155.505,-1074.28,440,100
0062,7,1.45648,-10.8971,13,161
0063,2,-993.211,-375.304,427,120
0063,7,-1.61272,-10.9609,16,180
0064,2,103.372,-729.673,418,105
0064,7,1.59843,-11.5215,12,165
0065,2,-105.01,-665.935,444,115
0065,7,76.7661,-11.7822,13,188
0066,2,139.046,-267.22,426,112
0066,7,-65.8988,-12.307,11,180
0067,2,-109.02,-307.439,434,106
0067,7,-1.69546,-14.4332,16,181
0068,2,338.483,1250.06,434,109
0068,7,1.58767,-17.8383,13,192
0069,2,590.959,-496.534,428,121
0069,7,-1.61004,-24.4832,14,198
0070,2,-1003,-305.714,426,112
0070,7,1.46395,-34.1737,12,209
0071,2,334.827,1554.68,442,128
0071,7,-1.559,-64.0265,14,230
0072,2,-192.909,751.659,443,132
0072,7,1.5423,-209.423,12,231
0073,2,253.032,-1794.25,422,121
0073,7,30.0217,729.06,13,223
0074,2,450.786,2038.05,409,125
0074,7,-1.55124,328.235,14,247
0075,2,1012.47,-3166.21,426,115
0075,7,1.45615,193.932,12,237
0076,2,-145.13,1302.45,437,136
0076,7,-40.7271,362.186,10,246
0077,2,-0.155063,-531.598,13,135
