image,class_id,ttcLidar,ttcCamera,lidar_points,camera_matches
0001,2,14.6099,11.5486,338,85
0002,2,10.3291,12.5728,305,81
0003,2,32.3865,12.6772,321,96
0004,2,13.3166,19.6447,319,89
0005,2,11.5447,13.0338,340,85
0006,2,12.4463,11.2969,345,90
0007,2,11.6265,13.5609,315,102
0008,2,15.9386,14.6941,307,99
0009,2,12.2729,13.2316,302,111
0010,2,12.9956,10.838,278,86
0011,2,13.097,11.2887,300,87
0012,2,9.82124,11.4909,300,94
0013,2,9.37135,9.3273,314,94
0014,2,9.47393,10.2517,305,91
0015,2,7.30009,10.0734,286,95
0016,2,9.51171,8.95836,288,94
0017,2,9.93677,8.68319,273,80
0018,2,11.4691,8.92371,295,81
0019,2,10.211,8.24132,346,90
0020,2,6.29794,8.59542,423,98
0021,2,5.35619,8.62796,389,99
0022,2,10.0488,8.58567,422,115
0023,2,10.647,8.83763,487,116
0024,2,6.30222,8.89819,432,121
0025,2,6.49659,10.4736,446,116
0026,2,7.46172,10.1935,433,113
0027,2,9.8562,10.1574,491,132
0028,2,8.80637,9.44106,506,139
0029,2,6.87206,10.2969,441,121
0030,2,8.14908,9.78533,476,125
0031,2,11.1283,11.1247,522,121
0032,2,9.85032,11.6326,573,134
0033,2,8.26347,10.5552,544,126
0034,2,9.3317,9.83302,591,135
0035,2,7.25152,8.2292,582,131
0036,2,7.23081,7.98285,455,145
0037,2,7.51727,8.17411,476,129
0038,2,7.4383,8.99027,575,161
0039,2,6.71038,8.14603,603,164
0040,2,4.31073,7.91904,634,166
0041,2,7.54957,8.46803,579,160
0042,2,6.43063,6.7613,574,162
0043,2,8.01582,7.29929,438,168
0044,2,5.91904,7.46594,481,161
0045,2,5.72978,8.01714,564,164
0046,2,7.70064,8.362,494,167
0047,2,6.85171,8.7904,500,169
0048,2,12.5901,9.76715,529,169
0048,7,-0.1,-5.48904,5,328
0049,2,22.4918,11.7544,468,190
0049,7,0,-5.16339,2,301
0050,2,11.478,14.5191,391,195
0050,7,-0.1,-4.99698,9,303
0051,2,15.9364,18.0628,393,183
0051,7,0.297054,-4.83224,4,298
0052,2,19.3389,30.2316,396,190
0052,7,-0.405534,-5.13773,7,293
0053,2,70.5045,75.2521,411,219
0053,7,48.5011,-5.22279,8,301
0054,2,-94.7635,-135.775,420,224
0054,7,0.300652,-4.92725,5,315
0055,2,-201.547,-84.7459,419,192
0055,7,-0.299783,-5.88883,10,331
0056,2,-189.297,271.192,440,189
0056,7,-138.453,-7.19936,11,345
0057,2,684.931,-1276.5,448,195
0057,7,-125.962,-8.58598,10,377
0058,2,270.483,-200.377,417,187
0058,7,81.4049,-9.2621,12,372
0059,2,-468.558,-310.715,452,189
0059,7,86.3974,-9.4687,12,368
0060,2,223.564,-696.454,416,192
0060,7,115.091,-10.3294,10,370
0061,2,432.233,-273.648,408,190
0061,7,-1.59179,-11.0084,14,370
0062,2,-155.505,-1216.99,440,183
0062,7,1.45648,-10.2849,13,389
0063,2,-993.211,-442.457,427,201
0063,7,-1.61272,-10.4833,16,416
0064,2,103.372,-341.54,418,191
0064,7,1.59843,-11.1441,12,382
0065,2,-105.01,-1293.37,444,201
0065,7,76.7661,-11.6262,13,391
0066,2,139.046,-306.262,426,200
0066,7,-65.8988,-12.5367,11,402
0067,2,-109.02,-378.544,434,200
0067,7,-1.69546,-14.2806,16,409
0068,2,338.483,1572.07,434,204
0068,7,1.58767,-17.4594,13,427
0069,2,590.959,-994.033,428,214
0069,7,-1.61004,-23.086,14,428
0070,2,-1003,-457.696,426,215
0070,7,1.46395,-34.5935,12,431
0071,2,334.827,-837.708,442,213
0071,7,-1.559,-64.6623,14,445
0072,2,-192.909,652.254,443,208
0072,7,1.5423,-213.275,12,438
0073,2,253.032,-2144.34,422,209
0073,7,30.0217,2220.92,13,454
0074,2,450.786,1982.77,409,216
0074,7,-1.55124,410.959,14,487
0075,2,1012.47,2061.21,426,209
0075,7,1.45615,208.858,12,486
0076,2,-145.13,7393.77,437,230
0076,7,-40.7271,274.92,10,467
0077,2,-0.155063,-852.579,13,228
